Framework:    Mg-MOF-274
Guest:        CO2
Temperature:  298               K
FW_Density:   553.029706294593  kg/m^3
Metal_atoms:  96                per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg         +/-  error
1000          0.9085933303      +/-            0.1250198384  0.9505912105   +/-  0.1307986264
2500          1.9586457219      +/-            0.2553820741  2.0491801398   +/-  0.2671865914
5000          3.1091535970      +/-            0.0950334152  3.2528679032   +/-  0.0994261417
7500          3.9034111251      +/-            0.1049184386  4.0838383714   +/-  0.1097680802
10000         4.5055058061      +/-            0.1206040370  4.7137636554   +/-  0.1261787135
25000         6.0923790893      +/-            0.1021205782  6.3739869311   +/-  0.1068408944
50000         7.6694483119      +/-            0.1787081524  8.0239529734   +/-  0.1869685736
75000         8.7424324525      +/-            0.0700608932  9.1465336253   +/-  0.0732993156
100000        9.8402562938      +/-            0.1784643767  10.2951021426  +/-  0.1867135298
250000        13.5355831134     +/-            0.2003331351  14.1612379343  +/-  0.2095931271
500000        16.5608884843     +/-            0.3304793583  17.3263818977  +/-  0.3457550950
750000        18.3600189453     +/-            0.3257208736  19.2086735078  +/-  0.3407766590
1000000       19.7605745791     +/-            0.3310295814  20.6739669794  +/-  0.3463307510
2500000       24.9291069244     +/-            0.3787200764  26.0814042283  +/-  0.3962256422
5000000       25.2808120918     +/-            0.2198623206  26.4493662523  +/-  0.2300250095
7500000       10.1670926691     +/-            0.2871272301  10.6370458651  +/-  0.3003991028
10000000      7.9883483876      +/-            0.2367455781  8.3575935570   +/-  0.2476886613
