Framework:    Zn-MOF-274
Guest:        CO2
Temperature:  298               K
FW_Density:   692.633935062906  kg/m^3
Metal_atoms:  96                per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg         +/-  error
1000          0.0843750000      +/-            0.0067328486  0.0701797900   +/-  0.0056001173
2500          0.2298625000      +/-            0.0356531380  0.1911905420   +/-  0.0296548710
5000          0.4466500000      +/-            0.0393981757  0.3715058158   +/-  0.0327698453
7500          0.6593875000      +/-            0.0996850791  0.5484524597   +/-  0.0829141087
10000         0.9011000000      +/-            0.0484542697  0.7494993634   +/-  0.0403023463
25000         1.9814250000      +/-            0.1395117020  1.6480709977   +/-  0.1160403194
50000         3.8109125000      +/-            0.1672405565  3.1697663884   +/-  0.1391040846
75000         5.6067500000      +/-            0.2704931261  4.6634730391   +/-  0.2249854908
100000        6.8011250000      +/-            0.1953120740  5.6569069556   +/-  0.1624528633
250000        11.4701500000     +/-            0.3676083565  9.5404174040   +/-  0.3057621009
500000        15.1098125000     +/-            0.1086628674  12.5677448112  +/-  0.0903814781
750000        17.1413500000     +/-            0.1844401597  14.2574974057  +/-  0.1534100347
1000000       18.9893750000     +/-            0.3051303000  15.7946115562  +/-  0.2537953231
2500000       25.5900625000     +/-            0.3652616870  21.2848025218  +/-  0.3038102340
5000000       28.3065250000     +/-            0.2123446138  23.5442486591  +/-  0.1766198567
7500000       28.9795125000     +/-            0.3545826367  24.1040130613  +/-  0.2949278221
10000000      29.3595500000     +/-            0.1744657810  24.4201132325  +/-  0.1451137408
