Framework:    ortho_CoMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1138.143592435615  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg         +/-  error
1000          1.5544500000       +/-            0.1577191808  0.2769113088   +/-  0.0280962558
2500          4.1128500000       +/-            0.3180126727  0.7326672947   +/-  0.0566511019
5000          7.8756500000       +/-            0.6357614018  1.4029763253   +/-  0.1132551847
7500          11.8352000000      +/-            1.1004934984  2.1083346016   +/-  0.1960430345
10000         15.4095000000      +/-            0.5253988961  2.7450640499   +/-  0.0935950953
25000         29.3239000000      +/-            0.4258231558  5.2237894606   +/-  0.0758565714
50000         39.6471500000      +/-            1.0105763009  7.0627837468   +/-  0.1800250932
75000         45.0884500000      +/-            0.6281734155  8.0321024797   +/-  0.1119034531
100000        48.4935500000      +/-            1.3673093798  8.6386904674   +/-  0.2435738878
250000        59.0734500000      +/-            0.9376648868  10.5234046464  +/-  0.1670365795
500000        65.8587000000      +/-            1.1715327738  11.7321360034  +/-  0.2086980435
750000        68.2881000000      +/-            0.9467350527  12.1649117977  +/-  0.1686523481
1000000       69.7705500000      +/-            0.6229149541  12.4289969530  +/-  0.1109667054
2500000       75.8228000000      +/-            0.8649618142  13.5071509422  +/-  0.1540851800
5000000       76.6893000000      +/-            0.6065243936  13.6615101361  +/-  0.1080468742
7500000       77.5241000000      +/-            0.6209273387  13.8102222597  +/-  0.1106126296
10000000      77.7451000000      +/-            0.4456839239  13.8495914252  +/-  0.0793945889
