Framework:    ortho_MgMOF74
Guest:        CH4
Temperature:  313               K
FW_Density:   887.623435202681  kg/m^3
Metal_atoms:  144               per_supercell
pressure_Pa   abs_molec/uc      exc_molec/uc   abs_mol/kg     exc_mol/kg    Energyofads_kJ/mol  +/-  error
10000         0.5908000000      0.5770667388   0.1352900098   0.1321451671  17.46576            +/-  0.140238
25000         1.4111000000      1.3767571351   0.3231342802   0.3152699496  17.36592            +/-  0.293759
50000         2.8252500000      2.7565318967   0.6469669940   0.6312309194  17.43851            +/-  0.659792
100000        5.3423000000      5.2047342985   1.2233578522   1.1918560494  17.68060            +/-  0.605232
150000        7.8153000000      7.6087572063   1.7896614984   1.7423643139  17.80357            +/-  0.433070
200000        10.0747000000     9.7990506249   2.3070518979   2.2439296795  17.82673            +/-  0.323447
250000        12.3206000000     11.9757145632  2.8213508703   2.7423739676  17.80028            +/-  0.527727
300000        14.1279500000     13.7136990339  3.2352242608   3.1403630265  18.23100            +/-  0.355127
350000        16.1181000000     15.6343540539  3.6909578643   3.5801826548  18.39537            +/-  0.681541
400000        17.8944500000     17.3410796442  4.0977324222   3.9710135989  18.28353            +/-  0.433902
450000        19.4367000000     18.8135758299  4.4508993442   4.3082072741  18.18461            +/-  0.407001
500000        20.9632500000     20.2702426402  4.8004710511   4.6417761078  18.42685            +/-  0.484191
1000000       30.5907500000     29.1918046105  7.0051165637   6.6847656237  18.35127            +/-  0.528932
1500000       35.7568000000     33.6390438356  8.1881141177   7.7031593917  18.53032            +/-  1.142198
2000000       39.2101500000     36.3608148473  8.9789126201   8.3264302561  18.80894            +/-  1.331081
2500000       41.6213000000     38.0277727169  9.5310529501   8.7081546069  18.45913            +/-  0.867517
3000000       43.6947500000     39.3446268094  10.0058618038  9.0097070833  18.17353            +/-  0.842588
3500000       45.2665500000     40.1476942471  10.3657955162  9.1936051900  17.83445            +/-  0.792461
4000000       46.3778000000     40.4784029612  10.6202657656  9.2693356998  17.52362            +/-  0.816489
4500000       47.5275500000     40.8361942014  10.8835523071  9.3512679617  18.70382            +/-  0.981731
5000000       48.4361000000     40.9418243679  11.0916053511  9.3754566995  18.45238            +/-  1.160942
10000000      53.9863500000     38.0059640027  12.3625826304  8.7031605291  18.32517            +/-  1.382739
