Framework:    ortho_MgMOF74
Guest:        CH4
Temperature:  313               K
FW_Density:   887.623435202681  kg/m^3
Metal_atoms:  144               per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg        +/-  error
10000         0.5770667388      +/-            0.0271005535  0.1321451671  +/-  0.0062058804
25000         1.3767571351      +/-            0.0793414142  0.3152699496  +/-  0.0181687554
50000         2.7565318967      +/-            0.0980219363  0.6312309194  +/-  0.0224464941
100000        5.2047342985      +/-            0.2842749373  1.1918560494  +/-  0.0650974256
150000        7.6087572063      +/-            0.1506122173  1.7423643139  +/-  0.0344893845
200000        9.7990506249      +/-            0.2727143927  2.2439296795  +/-  0.0624501233
250000        11.9757145632     +/-            0.0954864388  2.7423739676  +/-  0.0218658789
300000        13.7136990339     +/-            0.4098996707  3.1403630265  +/-  0.0938648112
350000        15.6343540539     +/-            0.5797634518  3.5801826548  +/-  0.1327626998
400000        17.3410796442     +/-            0.3654713942  3.9710135989  +/-  0.0836909758
450000        18.8135758299     +/-            0.3417180709  4.3082072741  +/-  0.0782515930
500000        20.2702426402     +/-            0.2106487598  4.6417761078  +/-  0.0482374285
1000000       29.1918046105     +/-            0.5875667622  6.6847656237  +/-  0.1345496157
1500000       33.6390438356     +/-            0.7144604538  7.7031593917  +/-  0.1636075859
2000000       36.3608148473     +/-            0.4597923009  8.3264302561  +/-  0.1052899541
2500000       38.0277727169     +/-            0.2695072170  8.7081546069  +/-  0.0617156974
3000000       39.3446268094     +/-            0.4462592296  9.0097070833  +/-  0.1021909538
3500000       40.1476942471     +/-            0.1572289414  9.1936051900  +/-  0.0360045786
4000000       40.4784029612     +/-            0.4947269348  9.2693356998  +/-  0.1132897966
4500000       40.8361942014     +/-            0.2643464394  9.3512679617  +/-  0.0605339072
5000000       40.9418243679     +/-            0.4845140452  9.3754566995  +/-  0.1109511000
10000000      38.0059640027     +/-            0.3242222386  8.7031605291  +/-  0.0742451419
