Framework:    ortho_MgMOF74
Guest:        CO2
Temperature:  298               K
FW_Density:   887.623435202681  kg/m^3
Metal_atoms:  144               per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg         +/-  error
69            0.25               +-             1             0.5            +/-  1
1000          8.1616000000      +/-            1.0063874304  1.8689623284   +/-  0.2304572872
2500          18.4609500000     +/-            2.3526539992  4.2274578632   +/-  0.5387450618
5000          26.8064000000     +/-            0.9109160554  6.1385208488   +/-  0.2085948579
7500          31.3564000000     +/-            0.2925617200  7.1804462793   +/-  0.0669950541
10000         33.3783000000     +/-            0.7563211223  7.6434504613   +/-  0.1731934530
25000         39.7172000000     +/-            0.5243943554  9.0950243321   +/-  0.1200834757
50000         45.7998000000     +/-            0.8523436748  10.4879068868  +/-  0.1951820990
75000         49.0779000000     +/-            0.9481025577  11.2385740854  +/-  0.2171103661
100000        51.9991500000     +/-            0.7557196967  11.9075245610  +/-  0.1730557298
250000        62.3813000000     +/-            0.9918395737  14.2849808487  +/-  0.2271259066
500000        68.5738500000     +/-            1.7660320382  15.7030413597  +/-  0.4044118004
750000        71.1793000000     +/-            0.5980435937  16.2996753406  +/-  0.1369487536
1000000       72.6525500000     +/-            1.2328264841  16.6370416352  +/-  0.2823106078
2500000       76.2721500000     +/-            0.7930870444  17.4659104899  +/-  0.1816126506
5000000       78.3319500000     +/-            0.9609299350  17.9375935672  +/-  0.2200477662
7500000       79.3840500000     +/-            0.9080507915  18.1785187860  +/-  0.2079387279
10000000      78.7024000000     +/-            0.7965468976  18.0224246168  +/-  0.1824049383
