Framework:    ortho_MgMOF74
Guest:        CO2
Temperature:  298               K
FW_Density:   887.623435202681  kg/m^3
Metal_atoms:  144               per_supercell
pressure_Pa   abs_molec/uc      exc_molec/uc   abs_mol/kg     exc_mol/kg     Energyofads_kJ/mol  +/-  error
1000          8.1616000000      8.1601577398   1.8689623284   1.8686320586   38.78143            +/-  1.588079
2500          18.4609500000     18.4573440536  4.2274578632   4.2266321209   39.29173            +/-  2.077756
5000          26.8064000000     26.7991871201  6.1385208488   6.1368691382   37.54167            +/-  2.371505
7500          31.3564000000     31.3455791990  7.1804462793   7.1779683743   39.27228            +/-  1.375996
10000         33.3783000000     33.3638702896  7.6434504613   7.6401461356   37.35373            +/-  2.190602
25000         39.7172000000     39.6810960464  9.0950243321   9.0867567216   32.38482            +/-  3.108034
50000         45.7998000000     45.7274928427  10.4879068868  10.4713489382  29.51394            +/-  2.350991
75000         49.0779000000     48.9692897765  11.2385740854  11.2137029307  31.08333            +/-  4.114332
100000        51.9991500000     51.8541362293  11.9075245610  11.8743171906  29.70026            +/-  2.102972
250000        62.3813000000     62.0157194204  14.2849808487  14.2012648701  29.02477            +/-  3.407191
500000        68.5738500000     67.8321843838  15.7030413597  15.5332039385  30.81352            +/-  2.202324
750000        71.1793000000     70.0503413158  16.2996753406  16.0411498982  29.96841            +/-  4.772754
1000000       72.6525500000     71.1243076507  16.6370416352  16.2870823896  31.29127            +/-  4.397513
2500000       76.2721500000     72.0387104395  17.4659104899  16.4964756905  32.26981            +/-  12.000305
5000000       78.3319500000     67.4007014100  17.9375935672  15.4343966675  30.63990            +/-  6.747445
7500000       79.3840500000     22.4755310284  18.1785187860  5.1467752404   31.97385            +/-  8.382086
10000000      78.7024000000     15.2422438735  18.0224246168  3.4903915408   30.17236            +/-  5.837734
