Framework:    ortho_NiMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1162.480066106511  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg        +/-  error
10000         0.9715287996       +/-            0.0857257254  0.1733356912  +/-  0.0152947889
25000         2.3692876491       +/-            0.0714776888  0.4227173836  +/-  0.0127527198
50000         4.5206941317       +/-            0.2122038171  0.8065614137  +/-  0.0378604271
100000        8.6786635969       +/-            0.3487805327  1.5484071639  +/-  0.0622278153
150000        12.4441583964      +/-            0.2916696762  2.2202293930  +/-  0.0520383595
200000        15.6846785349      +/-            0.7688314119  2.7983880624  +/-  0.1371713574
250000        18.3007240209      +/-            0.1920528573  3.2651308422  +/-  0.0342651857
300000        20.8120948666      +/-            0.5573563133  3.7131980550  +/-  0.0994409449
350000        22.5649410884      +/-            0.5517001541  4.0259328000  +/-  0.0984317990
400000        24.6854627064      +/-            0.7091691195  4.4042664948  +/-  0.1265266861
450000        26.3729097448      +/-            0.4799280571  4.7053330189  +/-  0.0856265522
500000        27.5133322317      +/-            0.2506096566  4.9088019435  +/-  0.0447126200
1000000       35.3582659286      +/-            0.3315336182  6.3084588608  +/-  0.0591507003
1500000       38.9112568558      +/-            0.2551449392  6.9423671283  +/-  0.0455217842
2000000       41.0630556474      +/-            0.5134090572  7.3262811523  +/-  0.0916000780
2500000       42.3376115926      +/-            0.5212349374  7.5536815503  +/-  0.0929963355
3000000       43.3569262501      +/-            0.4277882186  7.7355429741  +/-  0.0763240025
3500000       43.7815567822      +/-            0.1992133028  7.8113035967  +/-  0.0355427194
4000000       44.3843688929      +/-            0.3027919087  7.9188545555  +/-  0.0540227370
4500000       44.5298392434      +/-            0.1540069479  7.9448087051  +/-  0.0274772099
5000000       44.6264572168      +/-            0.2214354082  7.9620468386  +/-  0.0395074851
10000000      41.1422614208      +/-            0.3767682842  7.3404126814  +/-  0.0672212610
