Framework:    ortho_NiMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1162.480066106511  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg         +/-  error
1000          1.7411115162       +/-            0.1304484573  0.3106410929   +/-  0.0232740126
2500          4.4529785055       +/-            0.1663223978  0.7944799037   +/-  0.0296744757
5000          8.4700560608       +/-            0.5315555474  1.5111883687   +/-  0.0948376911
7500          12.4933826652      +/-            0.6931606163  2.2290117602   +/-  0.1236705228
10000         16.2224583183      +/-            0.8932132220  2.8943362530   +/-  0.1593629868
25000         29.8122422246      +/-            0.7224564347  5.3189628700   +/-  0.1288973477
50000         40.1365388998      +/-            0.5006789990  7.1609763040   +/-  0.0893288396
75000         45.2937394359      +/-            1.0083355295  8.0811002570   +/-  0.1799025783
100000        48.6003932377      +/-            0.5146367651  8.6710581898   +/-  0.0918191200
250000        58.8963505207      +/-            1.4247807691  10.5080154401  +/-  0.2542028188
500000        64.4951382554      +/-            0.9133028304  11.5069253460  +/-  0.1629472821
750000        66.3949358633      +/-            0.3715028129  11.8458784801  +/-  0.0662818198
1000000       67.4680399575      +/-            1.2153637892  12.0373367673  +/-  0.2168396063
2500000       69.0011091943      +/-            0.7776277001  12.3108599155  +/-  0.1387407506
5000000       65.3537358231      +/-            0.9983123058  11.6601123673  +/-  0.1781142810
7500000       21.9235318447      +/-            0.8527122961  3.9114955186   +/-  0.1521369982
10000000      15.2592301584      +/-            0.7412995616  2.7224815237   +/-  0.1322592515
