Framework:    ortho_ZnMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1195.887342730500  kg/m^3
Metal_atoms:  288                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg         +/-  error
1000          1.4814000000       +/-            0.0625760338  0.1267103589   +/-  0.0053523908
2500          3.7518000000       +/-            0.3594603455  0.3209071990   +/-  0.0307461519
5000          7.5663500000       +/-            0.2116404026  0.6471816687   +/-  0.0181024918
7500          11.1319000000      +/-            0.4255156401  0.9521581236   +/-  0.0363961384
10000         14.7757000000      +/-            0.6716376553  1.2638276293   +/-  0.0574479873
25000         35.5712500000      +/-            1.3933802065  3.0425582922   +/-  0.1191816566
50000         59.2511500000      +/-            0.6413922825  5.0679995153   +/-  0.0548609736
75000         72.8921000000      +/-            1.2326335465  6.2347672149   +/-  0.1054323202
100000        82.1864500000      +/-            0.8245716100  7.0297519755   +/-  0.0705290702
250000        107.9872500000     +/-            0.5639041585  9.2366026761   +/-  0.0482330892
500000        121.9119500000     +/-            0.9867463403  10.4276407041  +/-  0.0844005555
750000        129.2664500000     +/-            1.0127158239  11.0567019533  +/-  0.0866218344
1000000       133.8911000000     +/-            1.4574067243  11.4522676758  +/-  0.1246581133
2500000       143.3238000000     +/-            1.3140385991  12.2590860924  +/-  0.1123952359
5000000       147.7410500000     +/-            2.0833671160  12.6369120225  +/-  0.1781991326
7500000       148.3557500000     +/-            1.5888781577  12.6894898932  +/-  0.1359034168
10000000      150.4197500000     +/-            2.1485557707  12.8660324751  +/-  0.1837749918
