Framework:    ortho_ZnMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1195.887342730500  kg/m^3
Metal_atoms:  288                per_supercell
pressure_Pa   abs_molec/uc       exc_molec/uc    abs_mol/kg     exc_mol/kg     Energyofads_kJ/mol  +/-  error
1000          1.4814000000       1.4785522158    0.1267103589   0.1264667760   27.00131            +/-  0.426710
2500          3.7518000000       3.7446799551    0.3209071990   0.3202981916   27.12293            +/-  0.290747
5000          7.5663500000       7.5521079612    0.6471816687   0.6459634874   27.74380            +/-  1.215832
7500          11.1319000000      11.1105340172   0.9521581236   0.9503306014   27.86896            +/-  0.878690
10000         14.7757000000      14.7472081219   1.2638276293   1.2613905994   27.46250            +/-  1.259345
25000         35.5712500000      35.4999617054   3.0425582922   3.0364607052   27.86650            +/-  1.234497
50000         59.2511500000      59.1083774387   5.0679995153   5.0557875789   29.16891            +/-  1.157564
75000         72.8921000000      72.6776459907   6.2347672149   6.2164240635   29.41091            +/-  1.435795
100000        82.1864500000      81.9001161401   7.0297519755   7.0052606388   28.70675            +/-  1.391888
250000        107.9872500000     107.2654006339  9.2366026761   9.1748598705   30.06288            +/-  4.247609
500000        121.9119500000     120.4475099154  10.4276407041  10.3023809979  29.80455            +/-  1.822153
750000        129.2664500000     127.0372886165  11.0567019533  10.8660324252  31.94359            +/-  3.133932
1000000       133.8911000000     130.8735415389  11.4522676758  11.1941632370  33.66087            +/-  7.583941
2500000       143.3238000000     134.9647518616  12.2590860924  11.5441016252  29.77133            +/-  5.962115
5000000       147.7410500000     126.1569853475  12.6369120225  10.7907363923  28.38366            +/-  9.362100
7500000       148.3557500000     35.9882429723   12.6894898932  3.0782254511   30.37105            +/-  9.419325
10000000      150.4197500000     25.1158470275   12.8660324751  2.1482637984   33.58073            +/-  8.046974
