Framework:    ortho_ZnMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1195.887342730500  kg/m^3
Metal_atoms:  288                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg         +/-  error
1000          1.4785522158       +/-            0.0625760338  0.1264667760   +/-  0.0053523908
2500          3.7446799551       +/-            0.3594603455  0.3202981916   +/-  0.0307461519
5000          7.5521079612       +/-            0.2116404026  0.6459634874   +/-  0.0181024918
7500          11.1105340172      +/-            0.4255156401  0.9503306014   +/-  0.0363961384
10000         14.7472081219      +/-            0.6716376553  1.2613905994   +/-  0.0574479873
25000         35.4999617054      +/-            1.3933802065  3.0364607052   +/-  0.1191816566
50000         59.1083774387      +/-            0.6413922825  5.0557875789   +/-  0.0548609736
75000         72.6776459907      +/-            1.2326335465  6.2164240635   +/-  0.1054323202
100000        81.9001161401      +/-            0.8245716100  7.0052606388   +/-  0.0705290702
250000        107.2654006339     +/-            0.5639041585  9.1748598705   +/-  0.0482330892
500000        120.4475099154     +/-            0.9867463403  10.3023809979  +/-  0.0844005555
750000        127.0372886165     +/-            1.0127158239  10.8660324252  +/-  0.0866218344
1000000       130.8735415389     +/-            1.4574067243  11.1941632370  +/-  0.1246581133
2500000       134.9647518616     +/-            1.3140385991  11.5441016252  +/-  0.1123952359
5000000       126.1569853475     +/-            2.0833671160  10.7907363923  +/-  0.1781991326
7500000       35.9882429723      +/-            1.5888781577  3.0782254511   +/-  0.1359034168
10000000      25.1158470275      +/-            2.1485557707  2.1482637984   +/-  0.1837749918
