Framework:    ortho_MgMOF74
Guest:        CH4
Temperature:  313               K
FW_Density:   887.623435202681  kg/m^3
Metal_atoms:  144               per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg        +/-  error
10000         0.5770667388      +/-            0.0271005535  0.1321451671  +/-  0.0062058804
25000         1.3767571351      +/-            0.0793414142  0.3152699496  +/-  0.0181687554
50000         2.7565318967      +/-            0.0980219363  0.6312309194  +/-  0.0224464941
100000        5.2047342985      +/-            0.2842749373  1.1918560494  +/-  0.0650974256
150000        7.6087572063      +/-            0.1506122173  1.7423643139  +/-  0.0344893845
200000        9.7990506249      +/-            0.2727143927  2.2439296795  +/-  0.0624501233
250000        11.9757145632     +/-            0.0954864388  2.7423739676  +/-  0.0218658789
300000        13.7136990339     +/-            0.4098996707  3.1403630265  +/-  0.0938648112
350000        15.6343540539     +/-            0.5797634518  3.5801826548  +/-  0.1327626998
400000        17.3410796442     +/-            0.3654713942  3.9710135989  +/-  0.0836909758
450000        18.8135758299     +/-            0.3417180709  4.3082072741  +/-  0.0782515930
500000        20.2702426402     +/-            0.2106487598  4.6417761078  +/-  0.0482374285
1000000       29.1918046105     +/-            0.5875667622  6.6847656237  +/-  0.1345496157
