Framework:    Ni-MOF-274
Guest:        CO2
Temperature:  298               K
FW_Density:   688.557169741897  kg/m^3
Metal_atoms:  96                per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg         +/-  error
1000          0.3502875000      +/-            0.0551772485  0.3014134325   +/-  0.0474786107
2500          0.8426125000      +/-            0.0582500215  0.7250465000   +/-  0.0501226533
5000          1.5396875000      +/-            0.2635068785  1.3248617046   +/-  0.2267409277
7500          2.1876875000      +/-            0.1236947604  1.8824491270   +/-  0.1064361769
10000         2.6830500000      +/-            0.1168756123  2.3086958856   +/-  0.1005684744
25000         4.8567500000      +/-            0.2641961393  4.1791091267   +/-  0.2273340190
50000         6.7838375000      +/-            0.1726482986  5.8373186206   +/-  0.1485594441
75000         8.0191000000      +/-            0.1082815370  6.9002304006   +/-  0.0931734924
100000        9.0399875000      +/-            0.2421044248  7.7786779774   +/-  0.2083246639
250000        12.7470375000     +/-            0.3390044026  10.9684996665  +/-  0.2917046158
500000        15.8538375000     +/-            0.1509336692  13.6418215865  +/-  0.1298745611
750000        17.7132500000     +/-            0.2185648216  15.2417984741  +/-  0.1880694376
1000000       19.4660625000     +/-            0.1818087079  16.7500487889  +/-  0.1564417420
2500000       25.6898625000     +/-            0.2180368289  22.1054694680  +/-  0.1876151133
5000000       28.3382000000     +/-            0.2657905002  24.3842961354  +/-  0.2287059258
7500000       28.9925125000     +/-            0.4082985611  24.9473153026  +/-  0.3513304665
10000000      29.1698750000     +/-            0.1743254320  25.0999311965  +/-  0.1500025746
