Framework:    Ni-MOF-274
Guest:        CO2
Temperature:  298               K
FW_Density:   688.557169741897  kg/m^3
Metal_atoms:  96                per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg         +/-  error
1000          0.3498014503      +/-            0.0551772485  0.3009951992   +/-  0.0474786107
2500          0.8413972760      +/-            0.0582500215  0.7240008309   +/-  0.0501226533
5000          1.5372567193      +/-            0.2635068785  1.3227700800   +/-  0.2267409277
7500          2.1840408298      +/-            0.1236947604  1.8793112606   +/-  0.1064361769
10000         2.6781871073      +/-            0.1168756123  2.3045114908   +/-  0.1005684744
25000         4.8445827667      +/-            0.2641961393  4.1686395337   +/-  0.2273340190
50000         6.7594695855      +/-            0.1726482986  5.8163506536   +/-  0.1485594441
75000         7.9824977501      +/-            0.1082815370  6.8687351010   +/-  0.0931734924
100000        8.9911170521      +/-            0.2421044248  7.7366262072   +/-  0.2083246639
250000        12.6238348098     +/-            0.3390044026  10.8624869034  +/-  0.2917046158
500000        15.6038920590     +/-            0.1509336692  13.4267499288  +/-  0.1298745611
750000        17.3327846393     +/-            0.2185648216  14.9144177646  +/-  0.1880694375
1000000       18.9510363217     +/-            0.1818087078  16.3068819382  +/-  0.1564417420
2500000       24.2631698037     +/-            0.2180368289  20.8778369013  +/-  0.1876151133
5000000       24.6543083790     +/-            0.2657905002  21.2144016390  +/-  0.2287059258
7500000       9.8140248387      +/-            0.4082985611  8.4447173055   +/-  0.3513304665
10000000      7.7834491494      +/-            0.1743254320  6.6974588722   +/-  0.1500025746
