Framework:    ortho_CoMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1138.143592435615  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   abs_molec/uc       exc_molec/uc   abs_mol/kg     exc_mol/kg     Energyofads_kJ/mol  +/-  error
1000          1.5544500000       1.5530341197   0.2769113088   0.2766590824   30.26197            +/-  0.558417
2500          4.1128500000       4.1093100086   0.7326672947   0.7320366770   30.65189            +/-  0.681796
5000          7.8756500000       7.8685690482   1.4029763253   1.4017149173   30.43922            +/-  0.372139
7500          11.8352000000      11.8245771183  2.1083346016   2.1064422306   31.12539            +/-  1.851733
10000         15.4095000000      15.3953342182  2.7450640499   2.7425405431   31.25758            +/-  0.538401
25000         29.3239000000      29.2884564105  5.2237894606   5.2174755034   31.41732            +/-  2.100583
50000         39.6471500000      39.5761653864  7.0627837468   7.0501384753   30.72881            +/-  1.544237
75000         45.0884500000      44.9818263262  8.0321024797   8.0131084297   31.54078            +/-  1.630443
100000        48.4935500000      48.3511886230  8.6386904674   8.6133300665   30.32698            +/-  2.924584
250000        59.0734500000      58.7145561207  10.5234046464  10.4594709246  30.13296            +/-  1.525013
500000        65.8587000000      65.1305999176  11.7321360034  11.6024315119  31.86702            +/-  5.990590
750000        68.2881000000      67.1797906851  12.1649117977  11.9674764457  30.90866            +/-  5.548248
1000000       69.7705500000      68.2702601710  12.4289969530  12.1617337924  33.49148            +/-  4.739915
2500000       75.8228000000      71.6667927299  13.5071509422  12.7667955674  32.06699            +/-  6.978278
5000000       76.6893000000      65.9579908691  13.6615101361  11.7498237801  31.50950            +/-  5.540346
7500000       77.5241000000      21.6564738784  13.8102222597  3.8579063494   33.49815            +/-  7.808998
10000000      77.7451000000      15.4456703160  13.8495914252  2.7515074669   29.56708            +/-  8.992896
