Framework:    ortho_FeMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1084.452428455542  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg         +/-  error
1000          1.3998500000       +/-            0.1297523025  0.2544092392   +/-  0.0235812298
2500          3.4563500000       +/-            0.2250290204  0.6281582839   +/-  0.0408968546
5000          6.6309500000       +/-            0.5399584614  1.2051112222   +/-  0.0981322437
7500          9.5525500000       +/-            0.5058212530  1.7360838501   +/-  0.0919281352
10000         12.7623500000      +/-            0.5069817156  2.3194340489   +/-  0.0921390381
25000         26.2594500000      +/-            1.0445550919  4.7724018253   +/-  0.1898378156
50000         37.4438000000      +/-            0.5748881978  6.8050495904   +/-  0.1044803865
75000         43.1318500000      +/-            0.9073739361  7.8387978297   +/-  0.1649064634
100000        47.3016000000      +/-            1.1307933321  8.5966096845   +/-  0.2055107842
250000        58.5753500000      +/-            0.6173987852  10.6455050376  +/-  0.1122062758
500000        66.3246000000      +/-            0.7732302762  12.0538565013  +/-  0.1405271467
750000        69.6861000000      +/-            1.2765400346  12.6647767123  +/-  0.2319988420
1000000       70.8738500000      +/-            0.7134738678  12.8806388217  +/-  0.1296669956
2500000       75.9772500000      +/-            0.5259133008  13.8081325611  +/-  0.0955796712
5000000       78.4718000000      +/-            1.4449414659  14.2614929694  +/-  0.2626041783
7500000       79.4574500000      +/-            0.9883971570  14.4406253526  +/-  0.1796316525
10000000      79.3026000000      +/-            1.2694070112  14.4124828582  +/-  0.2307024838
