Framework:    ortho_MgMOF74
Guest:        CO2
Temperature:  298               K
FW_Density:   887.623435202681  kg/m^3
Metal_atoms:  144               per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg         +/-  error
1000          8.1601577398      +/-            1.0063874304  1.8686320586   +/-  0.2304572872
2500          18.4573440536     +/-            2.3526539992  4.2266321209   +/-  0.5387450618
5000          26.7991871201     +/-            0.9109160554  6.1368691382   +/-  0.2085948579
7500          31.3455791990     +/-            0.2925617200  7.1779683743   +/-  0.0669950541
10000         33.3638702896     +/-            0.7563211223  7.6401461356   +/-  0.1731934530
25000         39.6810960464     +/-            0.5243943554  9.0867567216   +/-  0.1200834757
50000         45.7274928427     +/-            0.8523436748  10.4713489382  +/-  0.1951820990
75000         48.9692897765     +/-            0.9481025577  11.2137029307  +/-  0.2171103661
100000        51.8541362293     +/-            0.7557196967  11.8743171906  +/-  0.1730557298
250000        62.0157194204     +/-            0.9918395737  14.2012648701  +/-  0.2271259066
500000        67.8321843838     +/-            1.7660320382  15.5332039385  +/-  0.4044118004
750000        70.0503413158     +/-            0.5980435937  16.0411498982  +/-  0.1369487536
1000000       71.1243076507     +/-            1.2328264841  16.2870823896  +/-  0.2823106078
2500000       72.0387104395     +/-            0.7930870444  16.4964756905  +/-  0.1816126506
5000000       67.4007014100     +/-            0.9609299350  15.4343966675  +/-  0.2200477662
7500000       22.4755310284     +/-            0.9080507915  5.1467752404   +/-  0.2079387279
10000000      15.2422438735     +/-            0.7965468976  3.4903915408   +/-  0.1824049383
