LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Jun 11 11:09:32 PDT 2017
 1365 atoms
 14 bonds
 0 angles
 0 dihedrals
 0 impropers
 11 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 -0.273399 43.604599  xlo xhi
 -2.150352 41.709649  ylo yhi
 -0.004506 27.667495  zlo zhi

# Pair Coeffs
#
# 1  Ca
# 2  Cb
# 3  Cc
# 4  Cd
# 5  Cg
# 6  H
# 7  Oa
# 8  Ob
# 9  Oc
# 10  Og
# 11  Zn

 Masses

 1 12.011000 # Ca
 2 12.011000 # Cb
 3 12.011000 # Cc
 4 12.011000 # Cd
 5 12.011000 # Cg
 6 1.008000 # H
 7 15.999000 # Oa
 8 15.999000 # Ob
 9 15.999000 # Oc
 10 15.999000 # Og
 11 65.379997 # Zn

 Atoms

1 1 10 -0.325600 19.198116 29.219545 2.320000 # Og 
2 1 5 0.651200 19.198116 29.219545 1.160000 # Cg 
3 1 10 -0.325600 19.198116 29.219545 0.000000 # Og 
4 2 10 -0.325600 13.714120 38.714546 2.320000 # Og 
5 2 5 0.651200 13.714120 38.714546 1.160000 # Cg 
6 2 10 -0.325600 13.714120 38.714546 0.000000 # Og 
7 3 10 -0.325600 30.166748 10.230500 2.320000 # Og 
8 3 5 0.651200 30.166748 10.230500 1.160000 # Cg 
9 3 10 -0.325600 30.166748 10.230500 0.000000 # Og 
10 4 10 -0.325600 24.682747 19.725500 2.320000 # Og 
11 4 5 0.651200 24.682747 19.725500 1.160000 # Cg 
12 4 10 -0.325600 24.682747 19.725500 0.000000 # Og 
13 5 10 -0.325600 30.167118 29.219545 2.320000 # Og 
14 5 5 0.651200 30.167118 29.219545 1.160000 # Cg 
15 5 10 -0.325600 30.167118 29.219545 0.000000 # Og 
16 6 10 -0.325600 24.683117 38.714546 2.320000 # Og 
17 6 5 0.651200 24.683117 38.714546 1.160000 # Cg 
18 6 10 -0.325600 24.683117 38.714546 0.000000 # Og 
19 7 10 -0.325600 41.135746 10.230500 2.320000 # Og 
20 7 5 0.651200 41.135746 10.230500 1.160000 # Cg 
21 7 10 -0.325600 41.135746 10.230500 0.000000 # Og 
22 8 6 0.135033 23.448046 37.187798 22.706993 # H LIG
23 8 6 0.135033 28.604046 30.801798 18.227993 # H LIG
24 8 6 0.135033 28.573046 28.516796 24.187994 # H LIG
25 8 6 0.135033 27.350044 30.148796 20.394993 # H LIG
26 8 6 0.135033 10.320678 0.993752 21.862993 # H LIG
27 8 6 0.135033 30.278046 37.855797 22.827993 # H LIG
28 8 6 0.135033 31.503044 37.031796 18.095993 # H LIG
29 8 6 0.135033 21.384045 36.868797 19.553993 # H LIG
30 8 6 0.135033 23.348045 35.716797 20.517994 # H LIG
31 8 6 0.135033 42.463676 0.894752 18.798992 # H LIG
32 8 6 0.135033 32.356674 1.053751 17.341993 # H LIG
33 8 6 0.135033 34.319675 2.201752 23.292994 # H LIG
34 8 6 0.135033 39.607674 9.415751 19.656994 # H LIG
35 8 6 0.135033 34.423676 0.733752 21.105993 # H LIG
36 8 6 0.135033 39.634674 7.140751 18.688993 # H LIG
37 8 6 0.135033 41.242676 0.068752 20.984993 # H LIG
38 8 6 0.135033 21.285046 36.923798 21.950993 # H LIG
39 8 6 0.135033 38.287674 7.780753 23.415993 # H LIG
40 8 11 0.918944 26.900045 33.849796 18.427994 # Zn LIG
41 8 11 0.918944 28.516045 34.811798 23.038994 # Zn LIG
42 8 11 0.918944 26.871044 35.727798 20.734993 # Zn LIG
43 8 11 0.918944 37.841675 2.202752 23.075993 # Zn LIG
44 8 11 0.918944 37.867676 4.088752 18.466993 # Zn LIG
45 8 11 0.918944 39.484676 3.123752 20.770992 # Zn LIG
46 8 3 0.616091 28.017044 31.777798 23.325993 # Cc LIG
47 8 2 -0.169815 24.508045 36.195797 17.344994 # Cb LIG
48 8 4 -0.190923 23.390045 36.861797 23.745995 # Cd LIG
49 8 2 -0.169815 22.251045 37.131798 17.586994 # Cb LIG
50 8 4 -0.190923 28.298046 29.365797 23.557993 # Cd LIG
51 8 4 -0.190923 28.324045 30.639797 24.102993 # Cd LIG
52 8 1 1.051130 25.629045 35.936798 23.325993 # Ca LIG
53 8 3 0.616091 29.743046 36.819798 21.020992 # Cc LIG
54 8 2 -0.169815 27.674046 31.565798 21.954994 # Cb LIG
55 8 4 -0.190923 27.647045 30.259796 21.438993 # Cd LIG
56 8 2 -0.169815 27.964046 29.140797 22.205994 # Cb LIG
57 8 4 -0.190923 9.735677 0.312752 21.241993 # Cd LIG
58 8 4 -0.190923 30.563046 37.675797 21.788994 # Cd LIG
59 8 1 1.051130 27.344046 32.663795 21.015993 # Ca LIG
60 8 3 0.616091 24.514046 35.779797 18.712994 # Cc LIG
61 8 2 -0.169815 30.105045 36.617798 19.652992 # Cb LIG
62 8 4 -0.190923 31.251045 37.245796 19.134995 # Cd LIG
63 8 2 -0.169815 10.110677 0.114751 19.895992 # Cb LIG
64 8 4 -0.190923 22.267046 36.706799 18.932993 # Cd LIG
65 8 4 -0.190923 23.362045 36.054798 19.479994 # Cd LIG
66 8 1 1.051130 29.320045 35.781796 18.713993 # Ca LIG
67 8 3 0.616091 35.486675 2.148752 18.178993 # Cc LIG
68 8 2 -0.169815 41.071674 1.308751 24.158993 # Cb LIG
69 8 4 -0.190923 42.211674 0.682752 17.759995 # Cd LIG
70 8 2 -0.169815 21.076046 37.804798 23.917994 # Cb LIG
71 8 4 -0.190923 33.240677 1.216751 17.961994 # Cd LIG
72 8 4 -0.190923 34.333675 1.870752 17.412994 # Cd LIG
73 8 1 1.051130 40.288677 2.155752 18.177994 # Ca LIG
74 8 3 0.616091 38.993675 6.155752 20.489994 # Cc LIG
75 8 2 -0.169815 35.481674 1.734752 19.546993 # Cb LIG
76 8 4 -0.190923 34.363674 1.059752 20.065994 # Cd LIG
77 8 2 -0.169815 33.226677 0.792752 19.307993 # Cb LIG
78 8 4 -0.190923 39.305676 8.567751 20.274994 # Cd LIG
79 8 4 -0.190923 39.330677 7.294753 19.725994 # Cd LIG
80 8 1 1.051130 36.600677 1.992751 20.483994 # Ca LIG
81 8 3 0.616091 40.710674 1.108752 22.790993 # Cc LIG
82 8 2 -0.169815 38.634674 6.366752 21.857994 # Cb LIG
83 8 4 -0.190923 38.602676 7.671751 22.376993 # Cd LIG
84 8 2 -0.169815 38.937675 8.791752 21.618994 # Cb LIG
85 8 4 -0.190923 20.702045 37.607796 22.571993 # Cd LIG
86 8 4 -0.190923 41.526676 0.248752 22.022993 # Cd LIG
87 8 1 1.051130 38.302677 5.266752 22.794994 # Ca LIG
88 8 9 -0.683695 39.631676 1.669752 22.198994 # Oc LIG
89 8 7 -0.688200 38.422676 4.052752 22.380993 # Oa LIG
90 8 8 -0.706966 40.708675 2.336751 19.371994 # Ob LIG
91 8 9 -0.683695 39.053677 4.941752 19.896994 # Oc LIG
92 8 7 -0.688200 37.592674 2.703752 20.072994 # Oa LIG
93 8 8 -0.706966 37.935677 5.538752 23.987993 # Ob LIG
94 8 9 -0.683695 36.509674 2.805752 17.587994 # Oc LIG
95 8 7 -0.688200 39.177677 2.662752 17.765993 # Oa LIG
96 8 8 -0.706966 36.548676 1.535752 21.676994 # Ob LIG
97 8 9 -0.683695 25.540045 35.125797 19.304993 # Oc LIG
98 8 7 -0.688200 28.207047 35.279797 19.124992 # Oa LIG
99 8 8 -0.706966 25.574045 36.390797 22.131992 # Ob LIG
100 8 9 -0.683695 28.081045 32.994797 23.913994 # Oc LIG
101 8 7 -0.688200 26.626045 35.231796 23.737993 # Oa LIG
102 8 8 -0.706966 26.981045 32.390797 19.821993 # Ob LIG
103 8 9 -0.683695 28.661045 36.264797 21.611994 # Oc LIG
104 8 7 -0.688200 27.457047 33.878796 21.429993 # Oa LIG
105 8 8 -0.706966 29.741045 35.599796 17.520992 # Ob LIG
106 8 6 0.135033 23.444422 37.214989 1.953002 # H LIG
107 8 6 0.135033 28.605253 30.803890 25.145990 # H LIG
108 8 6 0.135033 28.569424 28.543987 3.434002 # H LIG
109 8 6 0.135033 27.351254 30.150890 27.312990 # H LIG
110 8 6 0.135033 10.317055 1.020943 1.109001 # H LIG
111 8 6 0.135033 30.274422 37.882988 2.074002 # H LIG
112 8 6 0.135033 31.504253 37.033890 25.013990 # H LIG
113 8 6 0.135033 21.385254 36.870888 26.471991 # H LIG
114 8 6 0.135033 23.349253 35.718891 27.435991 # H LIG
115 8 6 0.135033 42.464882 0.896844 25.716991 # H LIG
116 8 6 0.135033 32.357883 1.055844 24.259991 # H LIG
117 8 6 0.135033 34.316051 2.228943 2.539002 # H LIG
118 8 6 0.135033 39.608883 9.417843 26.574991 # H LIG
119 8 6 0.135033 34.420052 0.760942 0.352002 # H LIG
120 8 6 0.135033 39.635883 7.142844 25.606991 # H LIG
121 8 6 0.135033 41.239052 0.095942 0.231002 # H LIG
122 8 6 0.135033 21.281422 36.950989 1.197002 # H LIG
123 8 6 0.135033 38.284054 7.807943 2.662001 # H LIG
124 8 11 0.918944 26.901253 33.851891 25.345991 # Zn LIG
125 8 11 0.918944 28.512423 34.838989 2.285002 # Zn LIG
126 8 11 0.918944 26.872253 35.729889 27.652990 # Zn LIG
127 8 11 0.918944 37.838051 2.229942 2.322002 # Zn LIG
128 8 11 0.918944 37.868885 4.090845 25.384991 # Zn LIG
129 8 11 0.918944 39.481052 3.150943 0.017002 # Zn LIG
130 8 3 0.616091 28.013422 31.804989 2.572002 # Cc LIG
131 8 2 -0.169815 24.509253 36.197887 24.262991 # Cb LIG
132 8 4 -0.190923 23.386423 36.888988 2.992002 # Cd LIG
133 8 2 -0.169815 22.252253 37.133888 24.504992 # Cb LIG
134 8 4 -0.190923 28.294422 29.392988 2.804002 # Cd LIG
135 8 4 -0.190923 28.320423 30.666988 3.349002 # Cd LIG
136 8 1 1.051130 25.625423 35.963989 2.572002 # Ca LIG
137 8 3 0.616091 29.739422 36.846989 0.267002 # Cc LIG
138 8 2 -0.169815 27.670422 31.592987 1.201001 # Cb LIG
139 8 4 -0.190923 27.643421 30.286987 0.685002 # Cd LIG
140 8 2 -0.169815 27.960423 29.167988 1.452001 # Cb LIG
141 8 4 -0.190923 9.732055 0.339943 0.488002 # Cd LIG
142 8 4 -0.190923 30.559422 37.702988 1.035002 # Cd LIG
143 8 1 1.051130 27.340424 32.690987 0.262002 # Ca LIG
144 8 3 0.616091 24.515253 35.781891 25.630991 # Cc LIG
