LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Mar 05 19:09:38 PST 2017
 1317 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 10 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.444700 26.558700  xlo xhi
 0.314250 45.544250  ylo yhi
 -0.000021 27.666979  zlo zhi

# Pair Coeffs
#
# 1  CH4
# 2  Ca
# 3  Cb
# 4  Cc
# 5  Cd
# 6  H
# 7  Mg
# 8  Oa
# 9  Ob
# 10  Oc

 Masses

 1 16.040001 # CH4
 2 12.011000 # Ca
 3 12.011000 # Cb
 4 12.011000 # Cc
 5 12.011000 # Cd
 6 1.008000 # H
 7 24.305000 # Mg
 8 15.999000 # Oa
 9 15.999000 # Ob
 10 15.999000 # Oc

 Atoms

1 1 1 0.000000 26.114401 45.230499 16.139000 # CH4 
2 1 1 0.000000 26.114401 45.230499 20.750000 # CH4 
3 1 1 0.000000 26.114401 45.230499 25.361000 # CH4 
4 1 1 0.000000 26.114401 45.230499 2.306000 # CH4 
5 1 1 0.000000 26.114401 45.230499 6.917000 # CH4 
6 1 1 0.000000 26.114401 45.230499 11.528000 # CH4 
7 1 1 0.000000 26.114401 22.614500 16.139000 # CH4 
8 1 1 0.000000 26.114401 22.614500 20.750000 # CH4 
9 1 1 0.000000 26.114401 22.614500 25.361000 # CH4 
10 1 1 0.000000 26.114401 22.614500 2.306000 # CH4 
11 1 1 0.000000 26.114401 22.614500 6.917000 # CH4 
12 1 1 0.000000 26.114401 22.614500 11.528000 # CH4 
13 1 1 0.000000 13.056400 45.230499 16.139000 # CH4 
14 1 1 0.000000 13.056400 45.230499 20.750000 # CH4 
15 1 1 0.000000 13.056400 45.230499 25.361000 # CH4 
16 1 1 0.000000 13.056400 45.230499 2.306000 # CH4 
17 1 1 0.000000 13.056400 45.230499 6.917000 # CH4 
18 1 1 0.000000 13.056400 45.230499 11.528000 # CH4 
19 1 1 0.000000 13.056400 22.614500 16.139000 # CH4 
20 1 1 0.000000 13.056400 22.614500 20.750000 # CH4 
21 1 1 0.000000 13.056400 22.614500 25.361000 # CH4 
22 1 7 0.000000 5.314000 7.966000 21.684460 # Mg LIG
23 2 7 0.000000 18.371000 30.580999 21.684460 # Mg LIG
24 3 7 0.000000 4.242000 6.491000 19.378460 # Mg LIG
25 4 7 0.000000 17.299000 29.106001 19.378460 # Mg LIG
26 1 7 0.000000 3.501000 8.158000 23.990459 # Mg LIG
27 2 7 0.000000 16.558001 30.773001 23.990459 # Mg LIG
28 5 7 0.000000 7.743000 14.649000 19.815460 # Mg LIG
29 6 7 0.000000 20.799000 37.264000 19.815460 # Mg LIG
30 7 7 0.000000 8.815000 16.124001 22.120461 # Mg LIG
31 8 7 0.000000 21.872000 38.738998 22.120461 # Mg LIG
32 3 7 0.000000 9.556000 14.457000 17.509460 # Mg LIG
33 4 7 0.000000 22.613001 37.071999 17.509460 # Mg LIG
34 9 7 0.000000 8.815000 31.200001 19.815460 # Mg LIG
35 10 7 0.000000 21.872000 8.585000 19.815460 # Mg LIG
36 11 7 0.000000 9.556000 29.534000 22.120461 # Mg LIG
37 12 7 0.000000 22.613001 6.919000 22.120461 # Mg LIG
38 5 7 0.000000 4.242000 21.568001 23.990459 # Mg LIG
39 13 7 0.000000 17.299000 44.182999 23.990459 # Mg LIG
40 14 7 0.000000 8.815000 1.047000 17.509460 # Mg LIG
41 8 7 0.000000 21.872000 23.662001 17.509460 # Mg LIG
42 9 7 0.000000 5.314000 38.118999 23.990459 # Mg LIG
43 10 7 0.000000 18.371000 15.504000 23.990459 # Mg LIG
44 15 7 0.000000 7.743000 44.801998 22.120461 # Mg LIG
45 16 7 0.000000 20.799000 22.187000 22.120461 # Mg LIG
46 17 7 0.000000 9.556000 44.611000 19.815460 # Mg LIG
47 18 7 0.000000 22.613001 21.996000 19.815460 # Mg LIG
48 19 7 0.000000 3.501000 38.311001 19.378460 # Mg LIG
49 20 7 0.000000 16.558001 15.696000 19.378460 # Mg LIG
50 21 7 0.000000 4.242000 36.645000 21.684460 # Mg LIG
51 22 7 0.000000 17.299000 14.030000 21.684460 # Mg LIG
52 23 7 0.000000 5.314000 23.042999 19.378460 # Mg LIG
53 24 7 0.000000 18.371000 0.428000 19.378460 # Mg LIG
54 25 7 0.000000 3.501000 23.233999 21.684460 # Mg LIG
55 26 7 0.000000 16.558001 0.619000 21.684460 # Mg LIG
56 13 7 0.000000 7.743000 29.726000 17.509460 # Mg LIG
57 14 7 0.000000 20.799000 7.111000 17.509460 # Mg LIG
58 3 2 0.000000 5.704000 9.170000 19.055460 # Ca LIG
59 4 2 0.000000 18.761000 31.785000 19.055460 # Ca LIG
60 27 3 0.000000 6.098000 10.247000 18.115459 # Cb LIG
61 28 3 0.000000 19.155001 32.862000 18.115459 # Cb LIG
62 27 5 0.000000 6.932000 11.258000 18.610460 # Cd LIG
63 28 5 0.000000 19.989000 33.873001 18.610460 # Cd LIG
64 27 6 0.000000 7.248000 11.206000 19.650459 # H LIG
65 28 6 0.000000 20.305000 33.820999 19.650459 # H LIG
66 3 9 0.000000 6.149000 9.140000 20.245461 # Ob LIG
67 4 9 0.000000 19.205999 31.754999 20.245461 # Ob LIG
68 3 8 0.000000 4.881000 8.269000 18.627460 # Oa LIG
69 4 8 0.000000 17.938000 30.884001 18.627460 # Oa LIG
70 27 10 0.000000 8.183000 13.257000 18.410460 # Oc LIG
71 28 10 0.000000 21.240000 35.872002 18.410460 # Oc LIG
72 1 8 0.000000 4.721000 6.715000 23.238461 # Oa LIG
73 2 8 0.000000 17.777000 29.330000 23.238461 # Oa LIG
74 1 8 0.000000 3.455000 7.631000 20.933460 # Oa LIG
75 2 8 0.000000 16.511000 30.246000 20.933460 # Oa LIG
76 29 10 0.000000 4.874000 9.358000 23.088459 # Oc LIG
77 30 10 0.000000 17.930000 31.973000 23.088459 # Oc LIG
78 31 10 0.000000 5.668000 6.177000 20.783461 # Oc LIG
79 32 10 0.000000 18.725000 28.792000 20.783461 # Oc LIG
80 29 4 0.000000 5.672000 10.284000 23.664459 # Cc LIG
81 30 4 0.000000 18.729000 32.898998 23.664459 # Cc LIG
82 7 2 0.000000 7.353000 13.445000 22.444460 # Ca LIG
83 8 2 0.000000 20.409000 36.060001 22.444460 # Ca LIG
84 29 3 0.000000 6.959000 12.368000 23.384460 # Cb LIG
85 30 3 0.000000 20.016001 34.983002 23.384460 # Cb LIG
86 27 4 0.000000 7.384000 12.331000 17.835461 # Cc LIG
87 28 4 0.000000 20.441000 34.945999 17.835461 # Cc LIG
88 29 5 0.000000 6.125000 11.357000 22.889460 # Cd LIG
89 30 5 0.000000 19.181000 33.972000 22.889460 # Cd LIG
90 29 6 0.000000 5.809000 11.409000 21.849461 # H LIG
91 30 6 0.000000 18.865999 34.023998 21.849461 # H LIG
92 7 9 0.000000 6.908000 13.475000 21.254459 # Ob LIG
93 8 9 0.000000 19.965000 36.090000 21.254459 # Ob LIG
94 7 8 0.000000 8.175000 14.346000 22.871460 # Oa LIG
95 8 8 0.000000 21.232000 36.960999 22.871460 # Oa LIG
96 3 8 0.000000 8.336000 15.900000 18.260460 # Oa LIG
