LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Mar 05 19:09:39 PST 2017
 1345 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 10 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.444700 26.558700  xlo xhi
 0.314250 45.544250  ylo yhi
 -0.401771 27.265229  zlo zhi

# Pair Coeffs
#
# 1  CH4
# 2  Ca
# 3  Cb
# 4  Cc
# 5  Cd
# 6  H
# 7  Mg
# 8  Oa
# 9  Ob
# 10  Oc

 Masses

 1 16.040001 # CH4
 2 12.011000 # Ca
 3 12.011000 # Cb
 4 12.011000 # Cc
 5 12.011000 # Cd
 6 1.008000 # H
 7 24.305000 # Mg
 8 15.999000 # Oa
 9 15.999000 # Ob
 10 15.999000 # Oc

 Atoms

1 1 1 0.000000 26.114401 45.230499 14.898000 # CH4 
2 1 1 0.000000 26.114401 45.230499 17.026001 # CH4 
3 1 1 0.000000 26.114401 45.230499 19.153999 # CH4 
4 1 1 0.000000 26.114401 45.230499 21.282000 # CH4 
5 1 1 0.000000 26.114401 45.230499 23.410999 # CH4 
6 1 1 0.000000 26.114401 45.230499 25.539000 # CH4 
7 1 1 0.000000 26.114401 45.230499 0.000000 # CH4 
8 1 1 0.000000 26.114401 45.230499 2.128000 # CH4 
9 1 1 0.000000 26.114401 45.230499 4.256000 # CH4 
10 1 1 0.000000 26.114401 45.230499 6.385000 # CH4 
11 1 1 0.000000 26.114401 45.230499 8.513000 # CH4 
12 1 1 0.000000 26.114401 45.230499 10.641000 # CH4 
13 1 1 0.000000 26.114401 45.230499 12.769000 # CH4 
14 1 1 0.000000 26.114401 22.614500 14.898000 # CH4 
15 1 1 0.000000 26.114401 22.614500 17.026001 # CH4 
16 1 1 0.000000 26.114401 22.614500 19.153999 # CH4 
17 1 1 0.000000 26.114401 22.614500 21.282000 # CH4 
18 1 1 0.000000 26.114401 22.614500 23.410999 # CH4 
19 1 1 0.000000 26.114401 22.614500 25.539000 # CH4 
20 1 1 0.000000 26.114401 22.614500 0.000000 # CH4 
21 1 1 0.000000 26.114401 22.614500 2.128000 # CH4 
22 1 1 0.000000 26.114401 22.614500 4.256000 # CH4 
23 1 1 0.000000 26.114401 22.614500 6.385000 # CH4 
24 1 1 0.000000 26.114401 22.614500 8.513000 # CH4 
25 1 1 0.000000 26.114401 22.614500 10.641000 # CH4 
26 1 1 0.000000 26.114401 22.614500 12.769000 # CH4 
27 1 1 0.000000 13.056400 45.230499 14.898000 # CH4 
28 1 1 0.000000 13.056400 45.230499 17.026001 # CH4 
29 1 1 0.000000 13.056400 45.230499 19.153999 # CH4 
30 1 1 0.000000 13.056400 45.230499 21.282000 # CH4 
31 1 1 0.000000 13.056400 45.230499 23.410999 # CH4 
32 1 1 0.000000 13.056400 45.230499 25.539000 # CH4 
33 1 1 0.000000 13.056400 45.230499 0.000000 # CH4 
34 1 1 0.000000 13.056400 45.230499 2.128000 # CH4 
35 1 1 0.000000 13.056400 45.230499 4.256000 # CH4 
36 1 1 0.000000 13.056400 45.230499 6.385000 # CH4 
37 1 1 0.000000 13.056400 45.230499 8.513000 # CH4 
38 1 1 0.000000 13.056400 45.230499 10.641000 # CH4 
39 1 1 0.000000 13.056400 45.230499 12.769000 # CH4 
40 1 1 0.000000 13.056400 22.614500 14.898000 # CH4 
41 1 1 0.000000 13.056400 22.614500 17.026001 # CH4 
42 1 1 0.000000 13.056400 22.614500 19.153999 # CH4 
43 1 1 0.000000 13.056400 22.614500 21.282000 # CH4 
44 1 1 0.000000 13.056400 22.614500 23.410999 # CH4 
45 1 1 0.000000 13.056400 22.614500 25.539000 # CH4 
46 1 1 0.000000 13.056400 22.614500 0.000000 # CH4 
47 1 1 0.000000 13.056400 22.614500 2.128000 # CH4 
48 1 1 0.000000 13.056400 22.614500 4.256000 # CH4 
49 1 1 0.000000 13.056400 22.614500 6.385000 # CH4 
50 1 7 0.000000 5.314000 7.966000 21.684460 # Mg LIG
51 2 7 0.000000 18.371000 30.580999 21.684460 # Mg LIG
52 3 7 0.000000 4.242000 6.491000 19.378460 # Mg LIG
53 4 7 0.000000 17.299000 29.106001 19.378460 # Mg LIG
54 1 7 0.000000 3.501000 8.158000 23.990459 # Mg LIG
55 2 7 0.000000 16.558001 30.773001 23.990459 # Mg LIG
56 5 7 0.000000 7.743000 14.649000 19.815460 # Mg LIG
57 6 7 0.000000 20.799000 37.264000 19.815460 # Mg LIG
58 7 7 0.000000 8.815000 16.124001 22.120461 # Mg LIG
59 8 7 0.000000 21.872000 38.738998 22.120461 # Mg LIG
60 3 7 0.000000 9.556000 14.457000 17.509460 # Mg LIG
61 4 7 0.000000 22.613001 37.071999 17.509460 # Mg LIG
62 9 7 0.000000 8.815000 31.200001 19.815460 # Mg LIG
63 10 7 0.000000 21.872000 8.585000 19.815460 # Mg LIG
64 11 7 0.000000 9.556000 29.534000 22.120461 # Mg LIG
65 12 7 0.000000 22.613001 6.919000 22.120461 # Mg LIG
66 5 7 0.000000 4.242000 21.568001 23.990459 # Mg LIG
67 13 7 0.000000 17.299000 44.182999 23.990459 # Mg LIG
68 14 7 0.000000 8.815000 1.047000 17.509460 # Mg LIG
69 8 7 0.000000 21.872000 23.662001 17.509460 # Mg LIG
70 9 7 0.000000 5.314000 38.118999 23.990459 # Mg LIG
71 10 7 0.000000 18.371000 15.504000 23.990459 # Mg LIG
72 15 7 0.000000 7.743000 44.801998 22.120461 # Mg LIG
73 16 7 0.000000 20.799000 22.187000 22.120461 # Mg LIG
74 17 7 0.000000 9.556000 44.611000 19.815460 # Mg LIG
75 18 7 0.000000 22.613001 21.996000 19.815460 # Mg LIG
76 19 7 0.000000 3.501000 38.311001 19.378460 # Mg LIG
77 20 7 0.000000 16.558001 15.696000 19.378460 # Mg LIG
78 21 7 0.000000 4.242000 36.645000 21.684460 # Mg LIG
79 22 7 0.000000 17.299000 14.030000 21.684460 # Mg LIG
80 23 7 0.000000 5.314000 23.042999 19.378460 # Mg LIG
81 24 7 0.000000 18.371000 0.428000 19.378460 # Mg LIG
82 25 7 0.000000 3.501000 23.233999 21.684460 # Mg LIG
83 26 7 0.000000 16.558001 0.619000 21.684460 # Mg LIG
84 13 7 0.000000 7.743000 29.726000 17.509460 # Mg LIG
85 14 7 0.000000 20.799000 7.111000 17.509460 # Mg LIG
86 3 2 0.000000 5.704000 9.170000 19.055460 # Ca LIG
87 4 2 0.000000 18.761000 31.785000 19.055460 # Ca LIG
88 27 3 0.000000 6.098000 10.247000 18.115459 # Cb LIG
89 28 3 0.000000 19.155001 32.862000 18.115459 # Cb LIG
90 27 5 0.000000 6.932000 11.258000 18.610460 # Cd LIG
91 28 5 0.000000 19.989000 33.873001 18.610460 # Cd LIG
92 27 6 0.000000 7.248000 11.206000 19.650459 # H LIG
93 28 6 0.000000 20.305000 33.820999 19.650459 # H LIG
94 3 9 0.000000 6.149000 9.140000 20.245461 # Ob LIG
95 4 9 0.000000 19.205999 31.754999 20.245461 # Ob LIG
96 3 8 0.000000 4.881000 8.269000 18.627460 # Oa LIG
97 4 8 0.000000 17.938000 30.884001 18.627460 # Oa LIG
98 27 10 0.000000 8.183000 13.257000 18.410460 # Oc LIG
99 28 10 0.000000 21.240000 35.872002 18.410460 # Oc LIG
100 1 8 0.000000 4.721000 6.715000 23.238461 # Oa LIG
101 2 8 0.000000 17.777000 29.330000 23.238461 # Oa LIG
102 1 8 0.000000 3.455000 7.631000 20.933460 # Oa LIG
103 2 8 0.000000 16.511000 30.246000 20.933460 # Oa LIG
104 29 10 0.000000 4.874000 9.358000 23.088459 # Oc LIG
105 30 10 0.000000 17.930000 31.973000 23.088459 # Oc LIG
106 31 10 0.000000 5.668000 6.177000 20.783461 # Oc LIG
107 32 10 0.000000 18.725000 28.792000 20.783461 # Oc LIG
108 29 4 0.000000 5.672000 10.284000 23.664459 # Cc LIG
109 30 4 0.000000 18.729000 32.898998 23.664459 # Cc LIG
110 7 2 0.000000 7.353000 13.445000 22.444460 # Ca LIG
111 8 2 0.000000 20.409000 36.060001 22.444460 # Ca LIG
112 29 3 0.000000 6.959000 12.368000 23.384460 # Cb LIG
113 30 3 0.000000 20.016001 34.983002 23.384460 # Cb LIG
114 27 4 0.000000 7.384000 12.331000 17.835461 # Cc LIG
115 28 4 0.000000 20.441000 34.945999 17.835461 # Cc LIG
116 29 5 0.000000 6.125000 11.357000 22.889460 # Cd LIG
117 30 5 0.000000 19.181000 33.972000 22.889460 # Cd LIG
118 29 6 0.000000 5.809000 11.409000 21.849461 # H LIG
119 30 6 0.000000 18.865999 34.023998 21.849461 # H LIG
120 7 9 0.000000 6.908000 13.475000 21.254459 # Ob LIG
121 8 9 0.000000 19.965000 36.090000 21.254459 # Ob LIG
122 7 8 0.000000 8.175000 14.346000 22.871460 # Oa LIG
123 8 8 0.000000 21.232000 36.960999 22.871460 # Oa LIG
124 3 8 0.000000 8.336000 15.900000 18.260460 # Oa LIG
125 4 8 0.000000 21.393000 38.514999 18.260460 # Oa LIG
126 5 8 0.000000 9.602000 14.984000 20.566460 # Oa LIG
127 6 8 0.000000 22.659000 37.598999 20.566460 # Oa LIG
128 32 10 0.000000 7.389000 16.438000 20.716461 # Oc LIG
129 32 10 0.000000 20.445999 39.053001 20.716461 # Oc LIG
130 13 8 0.000000 9.602000 30.059999 18.260460 # Oa LIG
131 14 8 0.000000 22.659000 7.445000 18.260460 # Oa LIG
132 11 8 0.000000 8.336000 30.976999 22.871460 # Oa LIG
133 12 8 0.000000 21.393000 8.362000 22.871460 # Oa LIG
134 25 8 0.000000 4.721000 21.791000 20.933460 # Oa LIG
135 32 8 0.000000 17.777000 44.405998 20.933460 # Oa LIG
136 32 10 0.000000 5.668000 21.254000 18.477459 # Oc LIG
137 32 10 0.000000 18.725000 43.868999 18.477459 # Oc LIG
138 32 8 0.000000 8.336000 0.824000 20.566460 # Oa LIG
139 18 8 0.000000 21.393000 23.438999 20.566460 # Oa LIG
140 32 10 0.000000 7.389000 1.361000 23.021460 # Oc LIG
141 32 10 0.000000 20.445999 23.976000 23.021460 # Oc LIG
142 32 10 0.000000 4.874000 39.512001 18.477459 # Oc LIG
143 32 10 0.000000 17.930000 16.896999 18.477459 # Oc LIG
144 21 2 0.000000 5.704000 39.324001 21.360460 # Ca LIG
145 22 2 0.000000 18.761000 16.709000 21.360460 # Ca LIG
146 32 3 0.000000 6.098000 40.401001 20.421459 # Cb LIG
147 32 3 0.000000 19.155001 17.785999 20.421459 # Cb LIG
148 32 4 0.000000 5.672000 40.438000 19.053459 # Cc LIG
149 32 4 0.000000 18.729000 17.823000 19.053459 # Cc LIG
150 32 5 0.000000 6.932000 41.410999 20.916460 # Cd LIG
151 32 5 0.000000 19.989000 18.796000 20.916460 # Cd LIG
152 32 6 0.000000 7.248000 41.359001 21.955460 # H LIG
153 32 6 0.000000 20.305000 18.743999 21.955460 # H LIG
154 21 9 0.000000 6.149000 39.292999 22.550461 # Ob LIG
155 22 9 0.000000 19.205999 16.677999 22.550461 # Ob LIG
156 21 8 0.000000 4.882000 38.423000 20.933460 # Oa LIG
157 22 8 0.000000 17.938000 15.808000 20.933460 # Oa LIG
158 32 3 0.000000 6.959000 42.521000 18.773460 # Cb LIG
159 32 3 0.000000 20.016001 19.906000 18.773460 # Cb LIG
160 32 4 0.000000 7.384000 42.484001 20.140461 # Cc LIG
161 32 4 0.000000 20.441000 19.868999 20.140461 # Cc LIG
162 32 5 0.000000 6.125000 41.509998 18.277460 # Cd LIG
163 32 5 0.000000 19.181000 18.895000 18.277460 # Cd LIG
164 32 8 0.000000 8.175000 44.499001 18.260460 # Oa LIG
165 8 8 0.000000 21.232000 21.884001 18.260460 # Oa LIG
166 32 10 0.000000 8.183000 43.410000 20.716461 # Oc LIG
167 32 10 0.000000 21.240000 20.795000 20.716461 # Oc LIG
168 32 10 0.000000 5.668000 36.330002 23.088459 # Oc LIG
169 32 10 0.000000 18.725000 13.715000 23.088459 # Oc LIG
170 32 2 0.000000 7.353000 43.598000 17.833460 # Ca LIG
171 8 2 0.000000 20.409000 20.983000 17.833460 # Ca LIG
172 33 9 0.000000 6.908000 43.627998 23.559460 # Ob LIG
173 34 9 0.000000 19.965000 21.013000 23.559460 # Ob LIG
174 15 8 0.000000 9.602000 45.137001 22.871460 # Oa LIG
175 16 8 0.000000 22.659000 22.521999 22.871460 # Oa LIG
176 19 8 0.000000 4.721000 36.868000 18.627460 # Oa LIG
177 20 8 0.000000 17.778000 14.253000 18.627460 # Oa LIG
178 9 8 0.000000 3.455000 37.785000 23.238461 # Oa LIG
179 10 8 0.000000 16.511000 15.170000 23.238461 # Oa LIG
180 32 10 0.000000 2.515000 22.156000 23.088459 # Oc LIG
181 32 10 0.000000 15.572000 44.771000 23.088459 # Oc LIG
182 32 4 0.000000 1.314000 22.385000 23.664459 # Cc LIG
183 32 4 0.000000 14.371000 45.000000 23.664459 # Cc LIG
184 15 2 0.000000 10.794000 44.875000 22.444460 # Ca LIG
185 16 2 0.000000 23.851000 22.260000 22.444460 # Ca LIG
186 32 3 0.000000 11.924000 45.073002 23.384460 # Cb LIG
187 16 3 0.000000 24.980000 22.458000 23.384460 # Cb LIG
188 32 5 0.000000 0.159000 22.240999 22.889460 # Cd LIG
189 32 5 0.000000 13.216000 44.855999 22.889460 # Cd LIG
190 32 6 0.000000 0.271000 21.941000 21.849461 # H LIG
191 32 6 0.000000 13.328000 44.556000 21.849461 # H LIG
192 15 9 0.000000 10.990000 44.474998 21.254459 # Ob LIG
193 16 9 0.000000 24.047001 21.860001 21.254459 # Ob LIG
194 32 4 0.000000 6.070000 35.174999 23.664459 # Cc LIG
195 32 4 0.000000 19.127001 12.560000 23.664459 # Cc LIG
196 11 2 0.000000 7.967000 32.139999 22.444460 # Ca LIG
197 12 2 0.000000 21.024000 9.525000 22.444460 # Ca LIG
198 32 3 0.000000 7.231000 33.020000 23.384460 # Cb LIG
199 32 3 0.000000 20.288000 10.405000 23.384460 # Cb LIG
200 32 5 0.000000 6.773000 34.248001 22.889460 # Cd LIG
201 32 5 0.000000 19.830000 11.633000 22.889460 # Cd LIG
202 32 6 0.000000 6.977000 34.494999 21.849461 # H LIG
203 32 6 0.000000 20.033001 11.880000 21.849461 # H LIG
204 11 9 0.000000 8.216000 32.509998 21.254459 # Ob LIG
205 12 9 0.000000 21.273001 9.895000 21.254459 # Ob LIG
206 32 10 0.000000 10.541000 30.612000 20.716461 # Oc LIG
207 32 10 0.000000 23.598000 7.997000 20.716461 # Oc LIG
208 19 2 0.000000 5.090000 35.705002 19.055460 # Ca LIG
209 20 2 0.000000 18.146000 13.090000 19.055460 # Ca LIG
210 32 3 0.000000 5.826000 34.825001 18.115459 # Cb LIG
211 32 3 0.000000 18.882000 12.210000 18.115459 # Cb LIG
212 32 5 0.000000 6.284000 33.597000 18.610460 # Cd LIG
213 32 5 0.000000 19.341000 10.982000 18.610460 # Cd LIG
214 32 6 0.000000 6.080000 33.349998 19.650459 # H LIG
215 32 6 0.000000 19.136999 10.735000 19.650459 # H LIG
216 19 9 0.000000 4.841000 35.334999 20.245461 # Ob LIG
217 20 9 0.000000 17.898001 12.720000 20.245461 # Ob LIG
218 32 10 0.000000 2.515000 37.233002 20.783461 # Oc LIG
