LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Mar 05 19:09:45 PST 2017
 1331 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 10 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.439550 26.456750  xlo xhi
 0.332838 45.395937  ylo yhi
 -0.387750 26.927729  zlo zhi

# Pair Coeffs
#
# 1  CH4
# 2  Ca
# 3  Cb
# 4  Cc
# 5  Cd
# 6  H
# 7  Ni
# 8  Oa
# 9  Ob
# 10  Oc

 Masses

 1 16.040001 # CH4
 2 12.011000 # Ca
 3 12.011000 # Cb
 4 12.011000 # Cc
 5 12.011000 # Cd
 6 1.008000 # H
 7 58.693001 # Ni
 8 15.999000 # Oa
 9 15.999000 # Ob
 10 15.999000 # Oc

 Atoms

1 1 1 0.000000 26.017300 45.062775 15.175000 # CH4 
2 1 1 0.000000 26.017300 45.062775 18.210001 # CH4 
3 1 1 0.000000 26.017300 45.062775 21.245001 # CH4 
4 1 1 0.000000 26.017300 45.062775 24.280001 # CH4 
5 1 1 0.000000 26.017300 45.062775 0.000000 # CH4 
6 1 1 0.000000 26.017300 45.062775 3.035000 # CH4 
7 1 1 0.000000 26.017300 45.062775 6.070000 # CH4 
8 1 1 0.000000 26.017300 45.062775 9.105000 # CH4 
9 1 1 0.000000 26.017300 45.062775 12.140000 # CH4 
10 1 1 0.000000 26.017300 22.531775 15.175000 # CH4 
11 1 1 0.000000 26.017300 22.531775 18.210001 # CH4 
12 1 1 0.000000 26.017300 22.531775 21.245001 # CH4 
13 1 1 0.000000 26.017300 22.531775 24.280001 # CH4 
14 1 1 0.000000 26.017300 22.531775 0.000000 # CH4 
15 1 1 0.000000 26.017300 22.531775 3.035000 # CH4 
16 1 1 0.000000 26.017300 22.531775 6.070000 # CH4 
17 1 1 0.000000 26.017300 22.531775 9.105000 # CH4 
18 1 1 0.000000 26.017300 22.531775 12.140000 # CH4 
19 1 1 0.000000 13.008301 45.062775 15.175000 # CH4 
20 1 1 0.000000 13.008301 45.062775 18.210001 # CH4 
21 1 1 0.000000 13.008301 45.062775 21.245001 # CH4 
22 1 1 0.000000 13.008301 45.062775 24.280001 # CH4 
23 1 1 0.000000 13.008301 45.062775 0.000000 # CH4 
24 1 1 0.000000 13.008301 45.062775 3.035000 # CH4 
25 1 1 0.000000 13.008301 45.062775 6.070000 # CH4 
26 1 1 0.000000 13.008301 45.062775 9.105000 # CH4 
27 1 1 0.000000 13.008301 45.062775 12.140000 # CH4 
28 1 1 0.000000 13.008301 22.531775 15.175000 # CH4 
29 1 1 0.000000 13.008301 22.531775 18.210001 # CH4 
30 1 1 0.000000 13.008301 22.531775 21.245001 # CH4 
31 1 1 0.000000 13.008301 22.531775 24.280001 # CH4 
32 1 1 0.000000 13.008301 22.531775 0.000000 # CH4 
33 1 1 0.000000 13.008301 22.531775 3.035000 # CH4 
34 1 1 0.000000 13.008301 22.531775 6.070000 # CH4 
35 1 1 0.000000 13.008301 22.531775 9.105000 # CH4 
36 1 9 0.000000 23.941000 21.823999 20.945980 # Ob LIG
37 2 9 0.000000 10.932000 44.355999 20.945980 # Ob LIG
38 3 9 0.000000 23.941000 6.803000 23.221979 # Ob LIG
39 4 9 0.000000 10.932000 29.334000 23.221979 # Ob LIG
40 5 10 0.000000 23.514999 7.995000 20.491980 # Oc LIG
41 6 10 0.000000 10.506000 30.527000 20.491980 # Oc LIG
42 1 8 0.000000 22.554001 7.442000 18.022980 # Oa LIG
43 2 8 0.000000 9.546000 29.973000 18.022980 # Oa LIG
44 1 8 0.000000 22.554001 22.462999 22.575979 # Oa LIG
45 2 8 0.000000 9.546000 44.993999 22.575979 # Oa LIG
46 3 8 0.000000 21.304001 8.301000 22.575979 # Oa LIG
47 4 8 0.000000 8.295000 30.833000 22.575979 # Oa LIG
48 3 9 0.000000 21.164000 9.821000 20.945980 # Ob LIG
49 4 9 0.000000 8.155000 32.353001 20.945980 # Ob LIG
50 7 10 0.000000 21.184000 20.701000 20.491980 # Oc LIG
51 8 10 0.000000 8.176000 43.233002 20.491980 # Oc LIG
52 3 8 0.000000 21.184999 21.809999 18.022980 # Oa LIG
53 2 8 0.000000 8.176000 44.341000 18.022980 # Oa LIG
54 1 9 0.000000 19.938000 20.927999 23.221979 # Ob LIG
55 2 9 0.000000 6.930000 43.459999 23.221979 # Ob LIG
56 9 9 0.000000 19.087999 16.624001 22.302979 # Ob LIG
57 10 9 0.000000 6.079000 39.155998 22.302979 # Ob LIG
58 11 10 0.000000 18.681999 13.676000 22.756979 # Oc LIG
59 12 10 0.000000 5.673000 36.207001 22.756979 # Oc LIG
60 9 8 0.000000 17.841000 15.743000 20.672979 # Oa LIG
61 10 8 0.000000 4.833000 38.275002 20.672979 # Oa LIG
62 13 10 0.000000 17.841999 16.851000 18.204979 # Oc LIG
63 14 10 0.000000 4.833000 39.382999 18.204979 # Oc LIG
64 15 10 0.000000 10.506000 0.485000 18.214979 # Oc LIG
65 4 10 0.000000 23.514999 23.017000 18.214979 # Oc LIG
66 16 10 0.000000 10.506000 15.506000 22.767979 # Oc LIG
67 17 10 0.000000 23.514999 38.036999 22.767979 # Oc LIG
68 18 9 0.000000 10.932000 14.313000 18.668980 # Ob LIG
69 19 9 0.000000 23.941000 36.845001 18.668980 # Ob LIG
70 20 9 0.000000 15.085000 0.708000 20.026979 # Ob LIG
71 21 9 0.000000 2.076000 23.239000 20.026979 # Ob LIG
72 22 9 0.000000 15.085000 15.729000 17.750980 # Ob LIG
73 23 9 0.000000 2.077000 38.259998 17.750980 # Ob LIG
74 24 10 0.000000 15.511000 14.536000 20.480980 # Oc LIG
75 25 10 0.000000 2.503000 37.068001 20.480980 # Oc LIG
76 5 8 0.000000 16.471001 15.090000 22.948978 # Oa LIG
77 6 8 0.000000 3.463000 37.620998 22.948978 # Oa LIG
78 20 8 0.000000 16.471001 0.069000 18.396980 # Oa LIG
79 21 8 0.000000 3.463000 22.601000 18.396980 # Oa LIG
80 22 8 0.000000 17.722000 14.230000 18.396980 # Oa LIG
