LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Mar 05 19:09:45 PST 2017
 1346 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 10 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.439550 26.456750  xlo xhi
 0.332838 45.395937  ylo yhi
 -0.387750 26.927729  zlo zhi

# Pair Coeffs
#
# 1  CH4
# 2  Ca
# 3  Cb
# 4  Cc
# 5  Cd
# 6  H
# 7  Ni
# 8  Oa
# 9  Ob
# 10  Oc

 Masses

 1 16.040001 # CH4
 2 12.011000 # Ca
 3 12.011000 # Cb
 4 12.011000 # Cc
 5 12.011000 # Cd
 6 1.008000 # H
 7 58.693001 # Ni
 8 15.999000 # Oa
 9 15.999000 # Ob
 10 15.999000 # Oc

 Atoms

1 1 1 0.000000 26.017300 45.062775 14.708000 # CH4 
2 1 1 0.000000 26.017300 45.062775 16.809002 # CH4 
3 1 1 0.000000 26.017300 45.062775 18.910000 # CH4 
4 1 1 0.000000 26.017300 45.062775 21.011002 # CH4 
5 1 1 0.000000 26.017300 45.062775 23.113001 # CH4 
6 1 1 0.000000 26.017300 45.062775 25.214001 # CH4 
7 1 1 0.000000 26.017300 45.062775 0.000000 # CH4 
8 1 1 0.000000 26.017300 45.062775 2.101000 # CH4 
9 1 1 0.000000 26.017300 45.062775 4.202000 # CH4 
10 1 1 0.000000 26.017300 45.062775 6.304000 # CH4 
11 1 1 0.000000 26.017300 45.062775 8.405000 # CH4 
12 1 1 0.000000 26.017300 45.062775 10.506000 # CH4 
13 1 1 0.000000 26.017300 45.062775 12.607000 # CH4 
14 1 1 0.000000 26.017300 22.531775 14.708000 # CH4 
15 1 1 0.000000 26.017300 22.531775 16.809002 # CH4 
16 1 1 0.000000 26.017300 22.531775 18.910000 # CH4 
17 1 1 0.000000 26.017300 22.531775 21.011002 # CH4 
18 1 1 0.000000 26.017300 22.531775 23.113001 # CH4 
19 1 1 0.000000 26.017300 22.531775 25.214001 # CH4 
20 1 1 0.000000 26.017300 22.531775 0.000000 # CH4 
21 1 1 0.000000 26.017300 22.531775 2.101000 # CH4 
22 1 1 0.000000 26.017300 22.531775 4.202000 # CH4 
23 1 1 0.000000 26.017300 22.531775 6.304000 # CH4 
24 1 1 0.000000 26.017300 22.531775 8.405000 # CH4 
25 1 1 0.000000 26.017300 22.531775 10.506000 # CH4 
26 1 1 0.000000 26.017300 22.531775 12.607000 # CH4 
27 1 1 0.000000 13.008301 45.062775 14.708000 # CH4 
28 1 1 0.000000 13.008301 45.062775 16.809002 # CH4 
29 1 1 0.000000 13.008301 45.062775 18.910000 # CH4 
30 1 1 0.000000 13.008301 45.062775 21.011002 # CH4 
31 1 1 0.000000 13.008301 45.062775 23.113001 # CH4 
32 1 1 0.000000 13.008301 45.062775 25.214001 # CH4 
33 1 1 0.000000 13.008301 45.062775 0.000000 # CH4 
34 1 1 0.000000 13.008301 45.062775 2.101000 # CH4 
35 1 1 0.000000 13.008301 45.062775 4.202000 # CH4 
36 1 1 0.000000 13.008301 45.062775 6.304000 # CH4 
37 1 1 0.000000 13.008301 45.062775 8.405000 # CH4 
38 1 1 0.000000 13.008301 45.062775 10.506000 # CH4 
39 1 1 0.000000 13.008301 45.062775 12.607000 # CH4 
40 1 1 0.000000 13.008301 22.531775 14.708000 # CH4 
41 1 1 0.000000 13.008301 22.531775 16.809002 # CH4 
42 1 1 0.000000 13.008301 22.531775 18.910000 # CH4 
43 1 1 0.000000 13.008301 22.531775 21.011002 # CH4 
44 1 1 0.000000 13.008301 22.531775 23.113001 # CH4 
45 1 1 0.000000 13.008301 22.531775 25.214001 # CH4 
46 1 1 0.000000 13.008301 22.531775 0.000000 # CH4 
47 1 1 0.000000 13.008301 22.531775 2.101000 # CH4 
48 1 1 0.000000 13.008301 22.531775 4.202000 # CH4 
49 1 1 0.000000 13.008301 22.531775 6.304000 # CH4 
50 1 1 0.000000 13.008301 22.531775 8.405000 # CH4 
51 1 9 0.000000 23.941000 21.823999 20.945980 # Ob LIG
52 2 9 0.000000 10.932000 44.355999 20.945980 # Ob LIG
53 3 9 0.000000 23.941000 6.803000 23.221979 # Ob LIG
54 4 9 0.000000 10.932000 29.334000 23.221979 # Ob LIG
55 5 10 0.000000 23.514999 7.995000 20.491980 # Oc LIG
56 6 10 0.000000 10.506000 30.527000 20.491980 # Oc LIG
57 1 8 0.000000 22.554001 7.442000 18.022980 # Oa LIG
58 2 8 0.000000 9.546000 29.973000 18.022980 # Oa LIG
59 1 8 0.000000 22.554001 22.462999 22.575979 # Oa LIG
60 2 8 0.000000 9.546000 44.993999 22.575979 # Oa LIG
61 3 8 0.000000 21.304001 8.301000 22.575979 # Oa LIG
62 4 8 0.000000 8.295000 30.833000 22.575979 # Oa LIG
63 3 9 0.000000 21.164000 9.821000 20.945980 # Ob LIG
64 4 9 0.000000 8.155000 32.353001 20.945980 # Ob LIG
65 7 10 0.000000 21.184000 20.701000 20.491980 # Oc LIG
66 8 10 0.000000 8.176000 43.233002 20.491980 # Oc LIG
67 3 8 0.000000 21.184999 21.809999 18.022980 # Oa LIG
68 2 8 0.000000 8.176000 44.341000 18.022980 # Oa LIG
69 1 9 0.000000 19.938000 20.927999 23.221979 # Ob LIG
70 2 9 0.000000 6.930000 43.459999 23.221979 # Ob LIG
71 9 9 0.000000 19.087999 16.624001 22.302979 # Ob LIG
72 10 9 0.000000 6.079000 39.155998 22.302979 # Ob LIG
73 11 10 0.000000 18.681999 13.676000 22.756979 # Oc LIG
74 12 10 0.000000 5.673000 36.207001 22.756979 # Oc LIG
75 9 8 0.000000 17.841000 15.743000 20.672979 # Oa LIG
76 10 8 0.000000 4.833000 38.275002 20.672979 # Oa LIG
77 13 10 0.000000 17.841999 16.851000 18.204979 # Oc LIG
78 14 10 0.000000 4.833000 39.382999 18.204979 # Oc LIG
79 15 10 0.000000 10.506000 0.485000 18.214979 # Oc LIG
80 4 10 0.000000 23.514999 23.017000 18.214979 # Oc LIG
81 16 10 0.000000 10.506000 15.506000 22.767979 # Oc LIG
82 17 10 0.000000 23.514999 38.036999 22.767979 # Oc LIG
83 18 9 0.000000 10.932000 14.313000 18.668980 # Ob LIG
84 19 9 0.000000 23.941000 36.845001 18.668980 # Ob LIG
85 20 9 0.000000 15.085000 0.708000 20.026979 # Ob LIG
86 21 9 0.000000 2.076000 23.239000 20.026979 # Ob LIG
87 22 9 0.000000 15.085000 15.729000 17.750980 # Ob LIG
88 23 9 0.000000 2.077000 38.259998 17.750980 # Ob LIG
89 24 10 0.000000 15.511000 14.536000 20.480980 # Oc LIG
90 25 10 0.000000 2.503000 37.068001 20.480980 # Oc LIG
91 5 8 0.000000 16.471001 15.090000 22.948978 # Oa LIG
92 6 8 0.000000 3.463000 37.620998 22.948978 # Oa LIG
93 20 8 0.000000 16.471001 0.069000 18.396980 # Oa LIG
94 21 8 0.000000 3.463000 22.601000 18.396980 # Oa LIG
95 22 8 0.000000 17.722000 14.230000 18.396980 # Oa LIG
96 23 8 0.000000 4.713000 36.762001 18.396980 # Oa LIG
97 22 9 0.000000 17.862000 12.710000 20.026979 # Ob LIG
98 23 9 0.000000 4.853000 35.242001 20.026979 # Ob LIG
99 26 10 0.000000 17.841000 1.831000 20.480980 # Oc LIG
100 27 10 0.000000 4.833000 24.362000 20.480980 # Oc LIG
101 20 8 0.000000 17.841000 0.722000 22.948978 # Oa LIG
102 28 8 0.000000 4.833000 23.254000 22.948978 # Oa LIG
103 20 9 0.000000 19.087000 1.603000 17.750980 # Ob LIG
104 21 9 0.000000 6.079000 24.135000 17.750980 # Ob LIG
105 28 9 0.000000 19.938000 5.907000 18.668980 # Ob LIG
106 28 9 0.000000 6.930000 28.438999 18.668980 # Ob LIG
107 28 9 0.000000 2.076000 8.218000 22.302979 # Ob LIG
108 28 9 0.000000 15.085000 30.750000 22.302979 # Ob LIG
109 28 10 0.000000 2.503000 7.026000 18.204979 # Oc LIG
