LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Mar 05 19:09:54 PST 2017
 2643 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 10 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.451838 52.642840  xlo xhi
 0.325101 45.523500  ylo yhi
 -0.407500 27.119741  zlo zhi

# Pair Coeffs
#
# 1  CH4
# 2  Ca
# 3  Cb
# 4  Cc
# 5  Cd
# 6  H
# 7  Oa
# 8  Ob
# 9  Oc
# 10  Zn

 Masses

 1 16.040001 # CH4
 2 12.011000 # Ca
 3 12.011000 # Cb
 4 12.011000 # Cc
 5 12.011000 # Cd
 6 1.008000 # H
 7 15.999000 # Oa
 8 15.999000 # Ob
 9 15.999000 # Oc
 10 65.379997 # Zn

 Atoms

1 1 1 0.000000 52.190678 45.197601 14.822001 # CH4 
2 1 1 0.000000 52.190678 45.197601 16.940001 # CH4 
3 1 1 0.000000 52.190678 45.197601 19.056999 # CH4 
4 1 1 0.000000 52.190678 45.197601 21.174999 # CH4 
5 1 1 0.000000 52.190678 45.197601 23.292000 # CH4 
6 1 1 0.000000 52.190678 45.197601 25.410000 # CH4 
7 1 1 0.000000 52.190678 45.197601 0.000000 # CH4 
8 1 1 0.000000 52.190678 45.197601 2.117000 # CH4 
9 1 1 0.000000 52.190678 45.197601 4.235000 # CH4 
10 1 1 0.000000 52.190678 45.197601 6.352000 # CH4 
11 1 1 0.000000 52.190678 45.197601 8.470000 # CH4 
12 1 1 0.000000 52.190678 45.197601 10.587000 # CH4 
13 1 1 0.000000 52.190678 45.197601 12.705000 # CH4 
14 1 1 0.000000 52.190678 22.599600 14.822001 # CH4 
15 1 1 0.000000 52.190678 22.599600 16.940001 # CH4 
16 1 1 0.000000 52.190678 22.599600 19.056999 # CH4 
17 1 1 0.000000 52.190678 22.599600 21.174999 # CH4 
18 1 1 0.000000 52.190678 22.599600 23.292000 # CH4 
19 1 1 0.000000 52.190678 22.599600 25.410000 # CH4 
20 1 1 0.000000 52.190678 22.599600 0.000000 # CH4 
21 1 1 0.000000 52.190678 22.599600 2.117000 # CH4 
22 1 1 0.000000 52.190678 22.599600 4.235000 # CH4 
23 1 1 0.000000 52.190678 22.599600 6.352000 # CH4 
24 1 1 0.000000 52.190678 22.599600 8.470000 # CH4 
25 1 1 0.000000 52.190678 22.599600 10.587000 # CH4 
26 1 1 0.000000 52.190678 22.599600 12.705000 # CH4 
27 1 1 0.000000 26.095676 45.197601 14.822001 # CH4 
28 1 1 0.000000 26.095676 45.197601 16.940001 # CH4 
29 1 1 0.000000 26.095676 45.197601 19.056999 # CH4 
30 1 1 0.000000 26.095676 45.197601 21.174999 # CH4 
31 1 1 0.000000 26.095676 45.197601 23.292000 # CH4 
32 1 1 0.000000 26.095676 45.197601 25.410000 # CH4 
33 1 1 0.000000 26.095676 45.197601 0.000000 # CH4 
34 1 1 0.000000 26.095676 45.197601 2.117000 # CH4 
35 1 1 0.000000 26.095676 45.197601 4.235000 # CH4 
36 1 1 0.000000 26.095676 45.197601 6.352000 # CH4 
37 1 1 0.000000 26.095676 45.197601 8.470000 # CH4 
38 1 1 0.000000 26.095676 45.197601 10.587000 # CH4 
39 1 1 0.000000 26.095676 45.197601 12.705000 # CH4 
40 1 1 0.000000 26.095676 22.599600 14.822001 # CH4 
41 1 1 0.000000 26.095676 22.599600 16.940001 # CH4 
42 1 1 0.000000 26.095676 22.599600 19.056999 # CH4 
43 1 1 0.000000 26.095676 22.599600 21.174999 # CH4 
44 1 1 0.000000 26.095676 22.599600 23.292000 # CH4 
45 1 1 0.000000 26.095676 22.599600 25.410000 # CH4 
46 1 1 0.000000 26.095676 22.599600 0.000000 # CH4 
47 1 1 0.000000 26.095676 22.599600 2.117000 # CH4 
48 1 1 0.000000 26.095676 22.599600 4.235000 # CH4 
49 1 1 0.000000 26.095676 22.599600 6.352000 # CH4 
50 1 1 0.000000 26.095676 22.599600 8.470000 # CH4 
51 1 1 0.000000 26.095676 22.599600 10.587000 # CH4 
52 1 10 0.000000 5.331000 7.994000 21.569241 # Zn LIG
53 2 10 0.000000 18.378000 30.594000 21.569241 # Zn LIG
54 3 10 0.000000 31.426001 7.994000 21.569241 # Zn LIG
55 4 10 0.000000 44.473999 30.594000 21.569241 # Zn LIG
56 5 2 0.000000 5.724000 9.170000 18.988241 # Ca LIG
57 6 2 0.000000 18.771999 31.768999 18.988241 # Ca LIG
58 7 2 0.000000 31.819000 9.170000 18.988241 # Ca LIG
59 8 2 0.000000 44.867001 31.768999 18.988241 # Ca LIG
60 9 3 0.000000 6.104000 10.244000 18.040241 # Cb LIG
61 10 3 0.000000 19.150999 32.842999 18.040241 # Cb LIG
62 11 3 0.000000 32.199001 10.244000 18.040241 # Cb LIG
63 12 3 0.000000 45.247002 32.842999 18.040241 # Cb LIG
64 9 5 0.000000 6.937000 11.262000 18.520241 # Cd LIG
65 10 5 0.000000 19.983999 33.861000 18.520241 # Cd LIG
66 11 5 0.000000 33.032001 11.262000 18.520241 # Cd LIG
67 12 5 0.000000 46.080002 33.861000 18.520241 # Cd LIG
68 9 6 0.000000 7.258000 11.221000 19.558241 # H LIG
69 10 6 0.000000 20.306000 33.820000 19.558241 # H LIG
70 11 6 0.000000 33.353001 11.221000 19.558241 # H LIG
71 12 6 0.000000 46.401001 33.820000 19.558241 # H LIG
72 5 8 0.000000 6.191000 9.168000 20.176241 # Ob LIG
73 6 8 0.000000 19.238001 31.767000 20.176241 # Ob LIG
74 7 8 0.000000 32.285999 9.168000 20.176241 # Ob LIG
75 8 8 0.000000 45.334000 31.767000 20.176241 # Ob LIG
76 5 7 0.000000 4.915000 8.263000 18.567242 # Oa LIG
77 6 7 0.000000 17.962999 30.862000 18.567242 # Oa LIG
78 7 7 0.000000 31.010000 8.263000 18.567242 # Oa LIG
79 8 7 0.000000 44.057999 30.862000 18.567242 # Oa LIG
80 9 9 0.000000 8.191000 13.251000 18.306240 # Oc LIG
81 10 9 0.000000 21.238001 35.849998 18.306240 # Oc LIG
82 11 9 0.000000 34.285999 13.251000 18.306240 # Oc LIG
83 12 9 0.000000 47.334000 35.849998 18.306240 # Oc LIG
84 5 10 0.000000 4.258000 6.452000 19.275242 # Zn LIG
85 6 10 0.000000 17.306000 29.052000 19.275242 # Zn LIG
86 7 10 0.000000 30.353001 6.452000 19.275242 # Zn LIG
87 8 10 0.000000 43.401001 29.052000 19.275242 # Zn LIG
88 1 10 0.000000 3.459000 8.152000 23.863241 # Zn LIG
89 2 10 0.000000 16.507000 30.750999 23.863241 # Zn LIG
90 3 10 0.000000 29.554001 8.152000 23.863241 # Zn LIG
91 4 10 0.000000 42.602001 30.750999 23.863241 # Zn LIG
92 13 10 0.000000 7.717000 14.605000 19.721241 # Zn LIG
93 14 10 0.000000 20.764999 37.203999 19.721241 # Zn LIG
94 15 10 0.000000 33.812000 14.605000 19.721241 # Zn LIG
95 16 10 0.000000 46.860001 37.203999 19.721241 # Zn LIG
96 1 7 0.000000 4.698000 6.678000 23.155241 # Oa LIG
97 2 7 0.000000 17.746000 29.277000 23.155241 # Oa LIG
98 3 7 0.000000 30.794001 6.678000 23.155241 # Oa LIG
99 4 7 0.000000 43.841000 29.277000 23.155241 # Oa LIG
100 1 7 0.000000 3.434000 7.658000 20.861240 # Oa LIG
101 2 7 0.000000 16.482000 30.257000 20.861240 # Oa LIG
102 3 7 0.000000 29.530001 7.658000 20.861240 # Oa LIG
103 4 7 0.000000 42.577000 30.257000 20.861240 # Oa LIG
104 17 9 0.000000 4.857000 9.348000 22.984241 # Oc LIG
105 18 9 0.000000 17.905001 31.947001 22.984241 # Oc LIG
106 19 9 0.000000 30.952000 9.348000 22.984241 # Oc LIG
107 20 9 0.000000 44.000000 31.947001 22.984241 # Oc LIG
108 21 9 0.000000 5.667000 6.186000 20.690241 # Oc LIG
109 22 9 0.000000 18.715000 28.785000 20.690241 # Oc LIG
110 23 9 0.000000 31.763000 6.186000 20.690241 # Oc LIG
111 24 9 0.000000 44.810001 28.785000 20.690241 # Oc LIG
