LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Tue May 02 12:05:28 PDT 2017
 1314 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 10 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.439550 26.456750  xlo xhi
 0.332838 45.395937  ylo yhi
 -0.387750 26.927729  zlo zhi

# Pair Coeffs
#
# 1  CH4
# 2  Ca
# 3  Cb
# 4  Cc
# 5  Cd
# 6  H
# 7  Ni
# 8  Oa
# 9  Ob
# 10  Oc

 Masses

 1 16.040001 # CH4
 2 12.011000 # Ca
 3 12.011000 # Cb
 4 12.011000 # Cc
 5 12.011000 # Cd
 6 1.008000 # H
 7 58.693001 # Ni
 8 15.999000 # Oa
 9 15.999000 # Ob
 10 15.999000 # Oc

 Atoms

1 1 1 0.000000 26.017300 45.062775 16.389000 # CH4 
2 2 1 0.000000 26.017300 45.062775 21.852001 # CH4 
3 3 1 0.000000 26.017300 45.062775 0.000000 # CH4 
4 4 1 0.000000 26.017300 45.062775 5.463000 # CH4 
5 5 1 0.000000 26.017300 45.062775 10.926000 # CH4 
6 6 1 0.000000 26.017300 22.531775 16.389000 # CH4 
7 7 1 0.000000 26.017300 22.531775 21.852001 # CH4 
8 8 1 0.000000 26.017300 22.531775 0.000000 # CH4 
9 9 1 0.000000 26.017300 22.531775 5.463000 # CH4 
10 10 1 0.000000 26.017300 22.531775 10.926000 # CH4 
11 11 1 0.000000 13.008301 45.062775 16.389000 # CH4 
12 12 1 0.000000 13.008301 45.062775 21.852001 # CH4 
13 13 1 0.000000 13.008301 45.062775 0.000000 # CH4 
14 14 1 0.000000 13.008301 45.062775 5.463000 # CH4 
15 15 1 0.000000 13.008301 45.062775 10.926000 # CH4 
16 16 1 0.000000 13.008301 22.531775 16.389000 # CH4 
17 17 1 0.000000 13.008301 22.531775 21.852001 # CH4 
18 18 1 0.000000 13.008301 22.531775 0.000000 # CH4 
19 19 9 0.000000 23.941000 21.823999 20.945980 # Ob LIG
20 19 9 0.000000 10.932000 44.355999 20.945980 # Ob LIG
21 19 9 0.000000 23.941000 6.803000 23.221979 # Ob LIG
22 19 9 0.000000 10.932000 29.334000 23.221979 # Ob LIG
23 19 10 0.000000 23.514999 7.995000 20.491980 # Oc LIG
24 19 10 0.000000 10.506000 30.527000 20.491980 # Oc LIG
25 19 8 0.000000 22.554001 7.442000 18.022980 # Oa LIG
26 19 8 0.000000 9.546000 29.973000 18.022980 # Oa LIG
27 19 8 0.000000 22.554001 22.462999 22.575979 # Oa LIG
28 19 8 0.000000 9.546000 44.993999 22.575979 # Oa LIG
29 19 8 0.000000 21.304001 8.301000 22.575979 # Oa LIG
30 19 8 0.000000 8.295000 30.833000 22.575979 # Oa LIG
31 19 9 0.000000 21.164000 9.821000 20.945980 # Ob LIG
32 19 9 0.000000 8.155000 32.353001 20.945980 # Ob LIG
33 19 10 0.000000 21.184000 20.701000 20.491980 # Oc LIG
34 19 10 0.000000 8.176000 43.233002 20.491980 # Oc LIG
35 19 8 0.000000 21.184999 21.809999 18.022980 # Oa LIG
36 19 8 0.000000 8.176000 44.341000 18.022980 # Oa LIG
37 19 9 0.000000 19.938000 20.927999 23.221979 # Ob LIG
38 19 9 0.000000 6.930000 43.459999 23.221979 # Ob LIG
39 19 9 0.000000 19.087999 16.624001 22.302979 # Ob LIG
40 19 9 0.000000 6.079000 39.155998 22.302979 # Ob LIG
41 19 10 0.000000 18.681999 13.676000 22.756979 # Oc LIG
42 19 10 0.000000 5.673000 36.207001 22.756979 # Oc LIG
43 19 8 0.000000 17.841000 15.743000 20.672979 # Oa LIG
44 19 8 0.000000 4.833000 38.275002 20.672979 # Oa LIG
45 19 10 0.000000 17.841999 16.851000 18.204979 # Oc LIG
46 19 10 0.000000 4.833000 39.382999 18.204979 # Oc LIG
47 19 10 0.000000 10.506000 0.485000 18.214979 # Oc LIG
48 19 10 0.000000 23.514999 23.017000 18.214979 # Oc LIG
49 19 10 0.000000 10.506000 15.506000 22.767979 # Oc LIG
50 19 10 0.000000 23.514999 38.036999 22.767979 # Oc LIG
51 19 9 0.000000 10.932000 14.313000 18.668980 # Ob LIG
52 19 9 0.000000 23.941000 36.845001 18.668980 # Ob LIG
53 19 9 0.000000 15.085000 0.708000 20.026979 # Ob LIG
