LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Apr 09 11:00:23 PDT 2017
 1347 atoms
 34 bonds
 0 angles
 0 dihedrals
 0 impropers
 11 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.439550 26.456750  xlo xhi
 0.332838 45.395937  ylo yhi
 -0.287750 27.027729  zlo zhi

# Pair Coeffs
#
# 1  Ca
# 2  Cb
# 3  Cc
# 4  Cd
# 5  Cg
# 6  H
# 7  Ni
# 8  Oa
# 9  Ob
# 10  Oc
# 11  Og

 Masses

 1 12.011000 # Ca
 2 12.011000 # Cb
 3 12.011000 # Cc
 4 12.011000 # Cd
 5 12.011000 # Cg
 6 1.008000 # H
 7 58.693001 # Ni
 8 15.999000 # Oa
 9 15.999000 # Ob
 10 15.999000 # Oc
 11 15.999000 # Og

 Atoms

1 1 11 -0.325600 26.017300 45.062775 18.709000 # Og 
2 1 5 0.651200 26.017300 45.062775 17.549000 # Cg 
3 1 11 -0.325600 26.017300 45.062775 16.389000 # Og 
4 2 11 -0.325600 26.017300 45.062775 24.172001 # Og 
5 2 5 0.651200 26.017300 45.062775 23.012001 # Cg 
6 2 11 -0.325600 26.017300 45.062775 21.852001 # Og 
7 3 11 -0.325600 26.017300 45.062775 2.320000 # Og 
8 3 5 0.651200 26.017300 45.062775 1.160000 # Cg 
9 3 11 -0.325600 26.017300 45.062775 0.000000 # Og 
10 4 11 -0.325600 26.017300 45.062775 7.783000 # Og 
11 4 5 0.651200 26.017300 45.062775 6.623000 # Cg 
12 4 11 -0.325600 26.017300 45.062775 5.463000 # Og 
13 5 11 -0.325600 26.017300 45.062775 13.246000 # Og 
14 5 5 0.651200 26.017300 45.062775 12.086000 # Cg 
15 5 11 -0.325600 26.017300 45.062775 10.926000 # Og 
16 6 11 -0.325600 26.017300 22.531775 18.709000 # Og 
17 6 5 0.651200 26.017300 22.531775 17.549000 # Cg 
18 6 11 -0.325600 26.017300 22.531775 16.389000 # Og 
19 7 11 -0.325600 26.017300 22.531775 24.172001 # Og 
20 7 5 0.651200 26.017300 22.531775 23.012001 # Cg 
21 7 11 -0.325600 26.017300 22.531775 21.852001 # Og 
22 8 11 -0.325600 26.017300 22.531775 2.320000 # Og 
23 8 5 0.651200 26.017300 22.531775 1.160000 # Cg 
24 8 11 -0.325600 26.017300 22.531775 0.000000 # Og 
25 9 11 -0.325600 26.017300 22.531775 7.783000 # Og 
26 9 5 0.651200 26.017300 22.531775 6.623000 # Cg 
27 9 11 -0.325600 26.017300 22.531775 5.463000 # Og 
28 10 11 -0.325600 26.017300 22.531775 13.246000 # Og 
29 10 5 0.651200 26.017300 22.531775 12.086000 # Cg 
30 10 11 -0.325600 26.017300 22.531775 10.926000 # Og 
31 11 11 -0.325600 13.008301 45.062775 18.709000 # Og 
32 11 5 0.651200 13.008301 45.062775 17.549000 # Cg 
33 11 11 -0.325600 13.008301 45.062775 16.389000 # Og 
34 12 11 -0.325600 13.008301 45.062775 24.172001 # Og 
35 12 5 0.651200 13.008301 45.062775 23.012001 # Cg 
36 12 11 -0.325600 13.008301 45.062775 21.852001 # Og 
37 13 11 -0.325600 13.008301 45.062775 2.320000 # Og 
38 13 5 0.651200 13.008301 45.062775 1.160000 # Cg 
39 13 11 -0.325600 13.008301 45.062775 0.000000 # Og 
40 14 11 -0.325600 13.008301 45.062775 7.783000 # Og 
41 14 5 0.651200 13.008301 45.062775 6.623000 # Cg 
42 14 11 -0.325600 13.008301 45.062775 5.463000 # Og 
43 15 11 -0.325600 13.008301 45.062775 13.246000 # Og 
44 15 5 0.651200 13.008301 45.062775 12.086000 # Cg 
45 15 11 -0.325600 13.008301 45.062775 10.926000 # Og 
46 16 11 -0.325600 13.008301 22.531775 18.709000 # Og 
47 16 5 0.651200 13.008301 22.531775 17.549000 # Cg 
48 16 11 -0.325600 13.008301 22.531775 16.389000 # Og 
49 17 11 -0.325600 13.008301 22.531775 24.172001 # Og 
50 17 5 0.651200 13.008301 22.531775 23.012001 # Cg 
51 17 11 -0.325600 13.008301 22.531775 21.852001 # Og 
52 18 9 -0.696000 23.941000 21.823999 20.945980 # Ob LIG
53 18 9 -0.696000 10.932000 44.355999 20.945980 # Ob LIG
54 18 9 -0.696000 23.941000 6.803000 23.221979 # Ob LIG
55 18 9 -0.696000 10.932000 29.334000 23.221979 # Ob LIG
56 18 10 -0.785000 23.514999 7.995000 20.491980 # Oc LIG
57 18 10 -0.785000 10.506000 30.527000 20.491980 # Oc LIG
58 18 8 -0.789000 22.554001 7.442000 18.022980 # Oa LIG
59 18 8 -0.789000 9.546000 29.973000 18.022980 # Oa LIG
60 18 8 -0.789000 22.554001 22.462999 22.575979 # Oa LIG
61 18 8 -0.789000 9.546000 44.993999 22.575979 # Oa LIG
62 18 8 -0.789000 21.304001 8.301000 22.575979 # Oa LIG
63 18 8 -0.789000 8.295000 30.833000 22.575979 # Oa LIG
64 18 9 -0.696000 21.164000 9.821000 20.945980 # Ob LIG
65 18 9 -0.696000 8.155000 32.353001 20.945980 # Ob LIG
66 18 10 -0.785000 21.184000 20.701000 20.491980 # Oc LIG
67 18 10 -0.785000 8.176000 43.233002 20.491980 # Oc LIG
68 18 8 -0.789000 21.184999 21.809999 18.022980 # Oa LIG
69 18 8 -0.789000 8.176000 44.341000 18.022980 # Oa LIG
70 18 9 -0.696000 19.938000 20.927999 23.221979 # Ob LIG
71 18 9 -0.696000 6.930000 43.459999 23.221979 # Ob LIG
72 18 9 -0.696000 19.087999 16.624001 22.302979 # Ob LIG
73 18 9 -0.696000 6.079000 39.155998 22.302979 # Ob LIG
74 18 10 -0.785000 18.681999 13.676000 22.756979 # Oc LIG
75 18 10 -0.785000 5.673000 36.207001 22.756979 # Oc LIG
76 18 8 -0.789000 17.841000 15.743000 20.672979 # Oa LIG
77 18 8 -0.789000 4.833000 38.275002 20.672979 # Oa LIG
78 18 10 -0.785000 17.841999 16.851000 18.204979 # Oc LIG
79 18 10 -0.785000 4.833000 39.382999 18.204979 # Oc LIG
80 18 10 -0.785000 10.506000 0.485000 18.214979 # Oc LIG
81 18 10 -0.785000 23.514999 23.017000 18.214979 # Oc LIG
82 18 10 -0.785000 10.506000 15.506000 22.767979 # Oc LIG
83 18 10 -0.785000 23.514999 38.036999 22.767979 # Oc LIG
84 18 9 -0.696000 10.932000 14.313000 18.668980 # Ob LIG
85 18 9 -0.696000 23.941000 36.845001 18.668980 # Ob LIG
86 18 9 -0.696000 15.085000 0.708000 20.026979 # Ob LIG
87 18 9 -0.696000 2.076000 23.239000 20.026979 # Ob LIG
88 18 9 -0.696000 15.085000 15.729000 17.750980 # Ob LIG
89 18 9 -0.696000 2.077000 38.259998 17.750980 # Ob LIG
90 18 10 -0.785000 15.511000 14.536000 20.480980 # Oc LIG
91 18 10 -0.785000 2.503000 37.068001 20.480980 # Oc LIG
92 18 8 -0.789000 16.471001 15.090000 22.948978 # Oa LIG
93 18 8 -0.789000 3.463000 37.620998 22.948978 # Oa LIG
94 18 8 -0.789000 16.471001 0.069000 18.396980 # Oa LIG
95 18 8 -0.789000 3.463000 22.601000 18.396980 # Oa LIG
96 18 8 -0.789000 17.722000 14.230000 18.396980 # Oa LIG
97 18 8 -0.789000 4.713000 36.762001 18.396980 # Oa LIG
98 18 9 -0.696000 17.862000 12.710000 20.026979 # Ob LIG
99 18 9 -0.696000 4.853000 35.242001 20.026979 # Ob LIG
100 18 10 -0.785000 17.841000 1.831000 20.480980 # Oc LIG
101 18 10 -0.785000 4.833000 24.362000 20.480980 # Oc LIG
102 18 8 -0.789000 17.841000 0.722000 22.948978 # Oa LIG
103 18 8 -0.789000 4.833000 23.254000 22.948978 # Oa LIG
104 18 9 -0.696000 19.087000 1.603000 17.750980 # Ob LIG
105 18 9 -0.696000 6.079000 24.135000 17.750980 # Ob LIG
106 18 9 -0.696000 19.938000 5.907000 18.668980 # Ob LIG
107 18 9 -0.696000 6.930000 28.438999 18.668980 # Ob LIG
108 18 9 -0.696000 2.076000 8.218000 22.302979 # Ob LIG
109 18 9 -0.696000 15.085000 30.750000 22.302979 # Ob LIG
110 18 10 -0.785000 2.503000 7.026000 18.204979 # Oc LIG
111 18 10 -0.785000 15.511000 29.556999 18.204979 # Oc LIG
112 18 10 -0.785000 2.503000 22.047001 22.756979 # Oc LIG
113 18 10 -0.785000 15.511000 44.577999 22.756979 # Oc LIG
114 18 10 -0.785000 20.344000 8.856000 18.215981 # Oc LIG
115 18 10 -0.785000 7.336000 31.388000 18.215981 # Oc LIG
116 18 8 -0.789000 21.184999 6.789000 20.299980 # Oa LIG
117 18 8 -0.789000 8.176000 29.320000 20.299980 # Oa LIG
118 18 10 -0.785000 21.184000 5.680000 22.767979 # Oc LIG
119 18 10 -0.785000 8.176000 28.212000 22.767979 # Oc LIG
120 18 8 -0.789000 3.463000 7.579000 20.672979 # Oa LIG
121 18 8 -0.789000 16.471001 30.111000 20.672979 # Oa LIG
122 18 8 -0.789000 4.713000 6.720000 22.948978 # Oa LIG
123 18 8 -0.789000 17.722000 29.250999 22.948978 # Oa LIG
124 18 8 -0.789000 4.713000 21.740999 20.672979 # Oa LIG
125 18 8 -0.789000 17.722000 44.271999 20.672979 # Oa LIG
126 18 9 -0.696000 4.853000 5.200000 17.750980 # Ob LIG
127 18 9 -0.696000 17.862000 27.731001 17.750980 # Ob LIG
128 18 9 -0.696000 4.853000 20.221001 22.302979 # Ob LIG
129 18 9 -0.696000 17.862000 42.751999 22.302979 # Ob LIG
130 18 10 -0.785000 4.833000 9.341000 22.756979 # Oc LIG
131 18 10 -0.785000 17.841000 31.872999 22.756979 # Oc LIG
132 18 8 -0.789000 4.833000 8.232000 18.396980 # Oa LIG
133 18 8 -0.789000 17.841000 30.764000 18.396980 # Oa LIG
134 18 10 -0.785000 5.673000 6.165000 20.480980 # Oc LIG
135 18 10 -0.785000 18.681999 28.697001 20.480980 # Oc LIG
136 18 10 -0.785000 5.673000 21.186001 18.204979 # Oc LIG
137 18 10 -0.785000 18.681000 43.717999 18.204979 # Oc LIG
138 18 9 -0.696000 6.079000 9.114000 20.026979 # Ob LIG
139 18 9 -0.696000 19.087000 31.645000 20.026979 # Ob LIG
140 18 9 -0.696000 6.930000 13.418000 20.945980 # Ob LIG
141 18 9 -0.696000 19.938000 35.949001 20.945980 # Ob LIG
142 18 10 -0.785000 7.336000 1.345000 22.767979 # Oc LIG
143 18 10 -0.785000 20.344000 23.877001 22.767979 # Oc LIG
144 18 10 -0.785000 7.336000 16.365999 20.491980 # Oc LIG
145 18 10 -0.785000 20.344000 38.897999 20.491980 # Oc LIG
146 18 8 -0.789000 8.176000 14.299000 22.575979 # Oa LIG
147 18 8 -0.789000 21.184999 36.831001 22.575979 # Oa LIG
148 18 10 -0.785000 8.176000 13.190000 18.214979 # Oc LIG
149 18 10 -0.785000 21.184000 35.722000 18.214979 # Oc LIG
150 18 9 -0.696000 8.155000 2.311000 18.668980 # Ob LIG
151 18 9 -0.696000 21.164000 24.841999 18.668980 # Ob LIG
152 18 9 -0.696000 8.155000 17.332001 23.221979 # Ob LIG
153 18 9 -0.696000 21.164000 39.862999 23.221979 # Ob LIG
154 18 8 -0.789000 8.296000 0.791000 20.299980 # Oa LIG
155 18 8 -0.789000 21.304001 23.322001 20.299980 # Oa LIG
156 18 8 -0.789000 8.295000 15.812000 18.022980 # Oa LIG
