LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Apr 09 11:00:50 PDT 2017
 2607 atoms
 10 bonds
 0 angles
 0 dihedrals
 0 impropers
 11 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.451838 52.642840  xlo xhi
 0.325101 45.523500  ylo yhi
 -0.000000 27.527241  zlo zhi

# Pair Coeffs
#
# 1  Ca
# 2  Cb
# 3  Cc
# 4  Cd
# 5  Cg
# 6  H
# 7  Oa
# 8  Ob
# 9  Oc
# 10  Og
# 11  Zn

 Masses

 1 12.011000 # Ca
 2 12.011000 # Cb
 3 12.011000 # Cc
 4 12.011000 # Cd
 5 12.011000 # Cg
 6 1.008000 # H
 7 15.999000 # Oa
 8 15.999000 # Ob
 9 15.999000 # Oc
 10 15.999000 # Og
 11 65.379997 # Zn

 Atoms

1 1 10 -0.325600 52.190678 45.197601 22.965000 # Og 
2 1 5 0.651200 52.190678 45.197601 21.805000 # Cg 
3 1 10 -0.325600 52.190678 45.197601 20.645000 # Og 
4 2 10 -0.325600 52.190678 45.197601 9.202000 # Og 
5 2 5 0.651200 52.190678 45.197601 8.042000 # Cg 
6 2 10 -0.325600 52.190678 45.197601 6.882000 # Og 
7 3 10 -0.325600 52.190678 22.599600 22.965000 # Og 
8 3 5 0.651200 52.190678 22.599600 21.805000 # Cg 
9 3 10 -0.325600 52.190678 22.599600 20.645000 # Og 
10 4 10 -0.325600 52.190678 22.599600 9.202000 # Og 
11 4 5 0.651200 52.190678 22.599600 8.042000 # Cg 
12 4 10 -0.325600 52.190678 22.599600 6.882000 # Og 
13 5 10 -0.325600 26.095676 45.197601 22.965000 # Og 
14 5 5 0.651200 26.095676 45.197601 21.805000 # Cg 
15 5 10 -0.325600 26.095676 45.197601 20.645000 # Og 
16 6 11 1.209000 5.331000 7.994000 21.569241 # Zn LIG
17 6 11 1.209000 18.378000 30.594000 21.569241 # Zn LIG
18 6 11 1.209000 31.426001 7.994000 21.569241 # Zn LIG
19 6 11 1.209000 44.473999 30.594000 21.569241 # Zn LIG
20 6 1 0.841000 5.724000 9.170000 18.988241 # Ca LIG
21 6 1 0.841000 18.771999 31.768999 18.988241 # Ca LIG
22 6 1 0.841000 31.819000 9.170000 18.988241 # Ca LIG
23 6 1 0.841000 44.867001 31.768999 18.988241 # Ca LIG
24 6 2 -0.298000 6.104000 10.244000 18.040241 # Cb LIG
25 6 2 -0.298000 19.150999 32.842999 18.040241 # Cb LIG
26 6 2 -0.298000 32.199001 10.244000 18.040241 # Cb LIG
27 6 2 -0.298000 45.247002 32.842999 18.040241 # Cb LIG
28 6 4 -0.170000 6.937000 11.262000 18.520241 # Cd LIG
29 6 4 -0.170000 19.983999 33.861000 18.520241 # Cd LIG
30 6 4 -0.170000 33.032001 11.262000 18.520241 # Cd LIG
31 6 4 -0.170000 46.080002 33.861000 18.520241 # Cd LIG
32 6 6 0.172000 7.258000 11.221000 19.558241 # H LIG
33 6 6 0.172000 20.306000 33.820000 19.558241 # H LIG
34 6 6 0.172000 33.353001 11.221000 19.558241 # H LIG
35 6 6 0.172000 46.401001 33.820000 19.558241 # H LIG
36 6 8 -0.671000 6.191000 9.168000 20.176241 # Ob LIG
37 6 8 -0.671000 19.238001 31.767000 20.176241 # Ob LIG
38 6 8 -0.671000 32.285999 9.168000 20.176241 # Ob LIG
39 6 8 -0.671000 45.334000 31.767000 20.176241 # Ob LIG
40 6 7 -0.719000 4.915000 8.263000 18.567242 # Oa LIG
41 6 7 -0.719000 17.962999 30.862000 18.567242 # Oa LIG
42 6 7 -0.719000 31.010000 8.263000 18.567242 # Oa LIG
43 6 7 -0.719000 44.057999 30.862000 18.567242 # Oa LIG
44 6 9 -0.740000 8.191000 13.251000 18.306240 # Oc LIG
45 6 9 -0.740000 21.238001 35.849998 18.306240 # Oc LIG
46 6 9 -0.740000 34.285999 13.251000 18.306240 # Oc LIG
47 6 9 -0.740000 47.334000 35.849998 18.306240 # Oc LIG
48 6 11 1.209000 4.258000 6.452000 19.275242 # Zn LIG
49 6 11 1.209000 17.306000 29.052000 19.275242 # Zn LIG
50 6 11 1.209000 30.353001 6.452000 19.275242 # Zn LIG
51 6 11 1.209000 43.401001 29.052000 19.275242 # Zn LIG
52 6 11 1.209000 3.459000 8.152000 23.863241 # Zn LIG
53 6 11 1.209000 16.507000 30.750999 23.863241 # Zn LIG
54 6 11 1.209000 29.554001 8.152000 23.863241 # Zn LIG
55 6 11 1.209000 42.602001 30.750999 23.863241 # Zn LIG
56 6 11 1.209000 7.717000 14.605000 19.721241 # Zn LIG
57 6 11 1.209000 20.764999 37.203999 19.721241 # Zn LIG
58 6 11 1.209000 33.812000 14.605000 19.721241 # Zn LIG
59 6 11 1.209000 46.860001 37.203999 19.721241 # Zn LIG
60 6 7 -0.719000 4.698000 6.678000 23.155241 # Oa LIG
61 6 7 -0.719000 17.746000 29.277000 23.155241 # Oa LIG
62 6 7 -0.719000 30.794001 6.678000 23.155241 # Oa LIG
63 6 7 -0.719000 43.841000 29.277000 23.155241 # Oa LIG
64 6 7 -0.719000 3.434000 7.658000 20.861240 # Oa LIG
65 6 7 -0.719000 16.482000 30.257000 20.861240 # Oa LIG
66 6 7 -0.719000 29.530001 7.658000 20.861240 # Oa LIG
67 6 7 -0.719000 42.577000 30.257000 20.861240 # Oa LIG
68 6 9 -0.740000 4.857000 9.348000 22.984241 # Oc LIG
69 6 9 -0.740000 17.905001 31.947001 22.984241 # Oc LIG
70 6 9 -0.740000 30.952000 9.348000 22.984241 # Oc LIG
71 6 9 -0.740000 44.000000 31.947001 22.984241 # Oc LIG
72 6 9 -0.740000 5.667000 6.186000 20.690241 # Oc LIG
73 6 9 -0.740000 18.715000 28.785000 20.690241 # Oc LIG
74 6 9 -0.740000 31.763000 6.186000 20.690241 # Oc LIG
75 6 9 -0.740000 44.810001 28.785000 20.690241 # Oc LIG
76 6 3 0.376000 5.670000 10.272000 23.559240 # Cc LIG
77 6 3 0.376000 18.718000 32.870998 23.559240 # Cc LIG
78 6 3 0.376000 31.764999 10.272000 23.559240 # Cc LIG
79 6 3 0.376000 44.813000 32.870998 23.559240 # Cc LIG
80 6 1 0.841000 7.324000 13.429000 22.302240 # Ca LIG
81 6 1 0.841000 20.371000 36.028000 22.302240 # Ca LIG
82 6 1 0.841000 33.418999 13.429000 22.302240 # Ca LIG
83 6 1 0.841000 46.466999 36.028000 22.302240 # Ca LIG
84 6 2 -0.298000 6.944000 12.355000 23.250240 # Cb LIG
85 6 2 -0.298000 19.992001 34.953999 23.250240 # Cb LIG
86 6 2 -0.298000 33.039001 12.355000 23.250240 # Cb LIG
87 6 2 -0.298000 46.087002 34.953999 23.250240 # Cb LIG
88 6 3 0.376000 7.378000 12.327000 17.730240 # Cc LIG
89 6 3 0.376000 20.424999 34.925999 17.730240 # Cc LIG
90 6 3 0.376000 33.473000 12.327000 17.730240 # Cc LIG
91 6 3 0.376000 46.521000 34.925999 17.730240 # Cc LIG
92 6 4 -0.170000 6.111000 11.337000 22.770241 # Cd LIG
93 6 4 -0.170000 19.159000 33.936001 22.770241 # Cd LIG
94 6 4 -0.170000 32.206001 11.337000 22.770241 # Cd LIG
95 6 4 -0.170000 45.254002 33.936001 22.770241 # Cd LIG
96 6 6 0.172000 5.790000 11.379000 21.732241 # H LIG
97 6 6 0.172000 18.837000 33.978001 21.732241 # H LIG
98 6 6 0.172000 31.885000 11.379000 21.732241 # H LIG
99 6 6 0.172000 44.932999 33.978001 21.732241 # H LIG
100 6 8 -0.671000 6.857000 13.431000 21.113241 # Ob LIG
101 6 8 -0.671000 19.905001 36.029999 21.113241 # Ob LIG
102 6 8 -0.671000 32.952000 13.431000 21.113241 # Ob LIG
103 6 8 -0.671000 46.000000 36.029999 21.113241 # Ob LIG
