Framework:    Mg-MOF-274
Guest:        CO2
Temperature:  298               K
FW_Density:   553.029706294593  kg/m^3
Metal_atoms:  96                per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg         +/-  error
1000          0.9091000000      +/-            0.1250198384  0.9511212999   +/-  0.1307986264
2500          1.9599125000      +/-            0.2553820741  2.0505054722   +/-  0.2671865914
5000          3.1116875000      +/-            0.0950334152  3.2555189308   +/-  0.0994261417
7500          3.9072125000      +/-            0.1049184386  4.0878154571   +/-  0.1097680802
10000         4.5105750000      +/-            0.1206040370  4.7190671625   +/-  0.1261787135
25000         6.1050625000      +/-            0.1021205782  6.3872566067   +/-  0.1068408944
50000         7.6948500000      +/-            0.1787081524  8.0505288029   +/-  0.1869685736
75000         8.7805875000      +/-            0.0700608932  9.1864523123   +/-  0.0732993156
100000        9.8912000000      +/-            0.1784643767  10.3484006180  +/-  0.1867135298
250000        13.6640125000     +/-            0.2003331351  14.2956037083  +/-  0.2095931271
500000        16.8214375000     +/-            0.3304793583  17.5989742621  +/-  0.3457550950
750000        18.7566250000     +/-            0.3257208736  19.6236118714  +/-  0.3407766590
1000000       20.2974500000     +/-            0.3310295814  21.2356583756  +/-  0.3463307510
2500000       26.4163250000     +/-            0.3787200764  27.6373659370  +/-  0.3962256422
5000000       29.1209875000     +/-            0.2198623206  30.4670459643  +/-  0.2300250095
7500000       30.1592000000     +/-            0.2871272301  31.5532477272  +/-  0.3003991028
10000000      30.2820625000     +/-            0.2367455781  31.6817892966  +/-  0.2476886613
