Framework:    Mg-MOF-274
Guest:        CO2
Temperature:  298               K
FW_Density:   553.029706294593  kg/m^3
Metal_atoms:  96                per_supercell
pressure_Pa   abs_molec/uc      exc_molec/uc   abs_mol/kg     exc_mol/kg     Energyofads_kJ/mol  +/-  error
1000          0.9091000000      0.9085933303   0.9511212999   0.9505912105   35.61734            +/-  0.633421
2500          1.9599125000      1.9586457219   2.0505054722   2.0491801398   34.94663            +/-  1.590929
5000          3.1116875000      3.1091535970   3.2555189308   3.2528679032   34.48237            +/-  2.552522
7500          3.9072125000      3.9034111251   4.0878154571   4.0838383714   33.70589            +/-  1.763649
10000         4.5105750000      4.5055058061   4.7190671625   4.7137636554   33.00655            +/-  3.121274
25000         6.1050625000      6.0923790893   6.3872566067   6.3739869311   30.02841            +/-  4.321675
50000         7.6948500000      7.6694483119   8.0505288029   8.0239529734   26.76296            +/-  4.057925
75000         8.7805875000      8.7424324525   9.1864523123   9.1465336253   26.38461            +/-  2.076385
100000        9.8912000000      9.8402562938   10.3484006180  10.2951021426  26.51478            +/-  3.115958
250000        13.6640125000     13.5355831134  14.2956037083  14.1612379343  25.73415            +/-  3.371444
500000        16.8214375000     16.5608884843  17.5989742621  17.3263818977  24.27844            +/-  3.406727
750000        18.7566250000     18.3600189453  19.6236118714  19.2086735078  21.74373            +/-  2.326142
1000000       20.2974500000     19.7605745791  21.2356583756  20.6739669794  20.42518            +/-  2.631181
2500000       26.4163250000     24.9291069244  27.6373659370  26.0814042283  22.15509            +/-  1.899725
5000000       29.1209875000     25.2808120918  30.4670459643  26.4493662523  27.08438            +/-  3.661185
7500000       30.1592000000     10.1670926691  31.5532477272  10.6370458651  25.99376            +/-  1.554560
10000000      30.2820625000     7.9883483876   31.6817892966  8.3575935570   26.69583            +/-  4.647487
