Framework:    Ni-MOF-274
Guest:        CO2
Temperature:  298               K
FW_Density:   688.557169741897  kg/m^3
Metal_atoms:  96                per_supercell
pressure_Pa   abs_molec/uc      exc_molec/uc   abs_mol/kg     exc_mol/kg     Energyofads_kJ/mol  +/-  error
1000          0.3502875000      0.3498014503   0.3014134325   0.3009951992   30.89592            +/-  0.585158
2500          0.8426125000      0.8413972760   0.7250465000   0.7240008309   31.01121            +/-  1.304718
5000          1.5396875000      1.5372567193   1.3248617046   1.3227700800   30.27597            +/-  1.596596
7500          2.1876875000      2.1840408298   1.8824491270   1.8793112606   31.29218            +/-  1.400725
10000         2.6830500000      2.6781871073   2.3086958856   2.3045114908   30.22524            +/-  0.829778
25000         4.8567500000      4.8445827667   4.1791091267   4.1686395337   30.05321            +/-  1.223748
50000         6.7838375000      6.7594695855   5.8373186206   5.8163506536   27.44341            +/-  2.216859
75000         8.0191000000      7.9824977501   6.9002304006   6.8687351010   26.51454            +/-  4.117785
100000        9.0399875000      8.9911170521   7.7786779774   7.7366262072   26.20824            +/-  2.073367
250000        12.7470375000     12.6238348098  10.9684996665  10.8624869034  25.47939            +/-  3.914227
500000        15.8538375000     15.6038920590  13.6418215865  13.4267499288  23.24988            +/-  2.206207
750000        17.7132500000     17.3327846393  15.2417984741  14.9144177646  21.60376            +/-  2.312995
1000000       19.4660625000     18.9510363217  16.7500487889  16.3068819382  20.03164            +/-  1.834944
2500000       25.6898625000     24.2631698037  22.1054694680  20.8778369013  22.86589            +/-  1.349576
5000000       28.3382000000     24.6543083790  24.3842961354  21.2144016390  26.03748            +/-  0.963186
7500000       28.9925125000     9.8140248387   24.9473153026  8.4447173055   26.51348            +/-  3.560841
10000000      29.1698750000     7.7834491494   25.0999311965  6.6974588722   27.05452            +/-  5.015921
