Framework:    Zn-MOF-274
Guest:        CO2
Temperature:  298               K
FW_Density:   692.633935062906  kg/m^3
Metal_atoms:  96                per_supercell
pressure_Pa   abs_molec/uc      exc_molec/uc   abs_mol/kg     exc_mol/kg     Energyofads_kJ/mol  +/-  error
1000          0.0843750000      0.0838693674   0.0701797900   0.0697592248   24.35496            +/-  0.971898
2500          0.2298625000      0.2285983147   0.1911905420   0.1901390426   24.68609            +/-  0.517299
5000          0.4466500000      0.4441212833   0.3715058158   0.3694025293   24.37658            +/-  0.331195
7500          0.6593875000      0.6555939057   0.5484524597   0.5452970980   24.26636            +/-  0.540786
10000         0.9011000000      0.8960411817   0.7494993634   0.7452916382   24.75066            +/-  0.822772
25000         1.9814250000      1.9687675497   1.6480709977   1.6375430309   24.78966            +/-  0.851614
50000         3.8109125000      3.7855628040   3.1697663884   3.1486815132   25.12137            +/-  0.974619
75000         5.6067500000      5.5686730481   4.6634730391   4.6318021356   25.59312            +/-  1.487281
100000        6.8011250000      6.7502855652   5.6569069556   5.6146207232   25.53825            +/-  2.256794
250000        11.4701500000     11.3419834821  9.5404174040   9.4338135603   25.24724            +/-  1.788293
500000        15.1098125000     14.8497967750  12.5677448112  12.3514740085  23.37799            +/-  1.811542
750000        17.1413500000     16.7455557170  14.2574974057  13.9282913652  22.44640            +/-  2.784179
1000000       18.9893750000     18.4535984535  15.7946115562  15.3489738018  20.32614            +/-  0.281123
2500000       25.5900625000     24.1058884563  21.2848025218  20.0503252152  23.73004            +/-  3.233848
5000000       28.3065250000     24.4742096472  23.5442486591  20.3566802237  26.30148            +/-  4.413694
7500000       28.9795125000     9.0283249331   24.1040130613  7.5094038282   28.41534            +/-  2.218569
10000000      29.3595500000     7.1114665709   24.4201132325  5.9150368078   27.13301            +/-  3.738455
