Framework:    Zn-MOF-274
Guest:        CO2
Temperature:  298               K
FW_Density:   692.633935062906  kg/m^3
Metal_atoms:  96                per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg         +/-  error
1000          0.0838693674      +/-            0.0067328486  0.0697592248   +/-  0.0056001173
2500          0.2285983147      +/-            0.0356531380  0.1901390426   +/-  0.0296548710
5000          0.4441212833      +/-            0.0393981757  0.3694025293   +/-  0.0327698453
7500          0.6555939057      +/-            0.0996850791  0.5452970980   +/-  0.0829141087
10000         0.8960411817      +/-            0.0484542697  0.7452916382   +/-  0.0403023463
25000         1.9687675497      +/-            0.1395117020  1.6375430309   +/-  0.1160403194
50000         3.7855628040      +/-            0.1672405565  3.1486815132   +/-  0.1391040846
75000         5.5686730481      +/-            0.2704931261  4.6318021356   +/-  0.2249854908
100000        6.7502855652      +/-            0.1953120740  5.6146207232   +/-  0.1624528633
250000        11.3419834821     +/-            0.3676083565  9.4338135603   +/-  0.3057621009
500000        14.8497967750     +/-            0.1086628674  12.3514740085  +/-  0.0903814781
750000        16.7455557170     +/-            0.1844401597  13.9282913652  +/-  0.1534100347
1000000       18.4535984535     +/-            0.3051303000  15.3489738018  +/-  0.2537953231
2500000       24.1058884563     +/-            0.3652616870  20.0503252152  +/-  0.3038102340
5000000       24.4742096472     +/-            0.2123446138  20.3566802237  +/-  0.1766198567
7500000       9.0283249331      +/-            0.3545826367  7.5094038282   +/-  0.2949278221
10000000      7.1114665709      +/-            0.1744657810  5.9150368078   +/-  0.1451137408
