Framework:    ortho_CoMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1138.143592435615  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg         +/-  error
1000          1.5530341197       +/-            0.1577191808  0.2766590824   +/-  0.0280962558
2500          4.1093100086       +/-            0.3180126727  0.7320366770   +/-  0.0566511019
5000          7.8685690482       +/-            0.6357614018  1.4017149173   +/-  0.1132551847
7500          11.8245771183      +/-            1.1004934984  2.1064422306   +/-  0.1960430345
10000         15.3953342182      +/-            0.5253988961  2.7425405431   +/-  0.0935950953
25000         29.2884564105      +/-            0.4258231558  5.2174755034   +/-  0.0758565714
50000         39.5761653864      +/-            1.0105763009  7.0501384753   +/-  0.1800250932
75000         44.9818263262      +/-            0.6281734155  8.0131084297   +/-  0.1119034531
100000        48.3511886230      +/-            1.3673093798  8.6133300665   +/-  0.2435738878
250000        58.7145561207      +/-            0.9376648868  10.4594709246  +/-  0.1670365795
500000        65.1305999176      +/-            1.1715327738  11.6024315119  +/-  0.2086980435
750000        67.1797906851      +/-            0.9467350527  11.9674764457  +/-  0.1686523481
1000000       68.2702601710      +/-            0.6229149541  12.1617337924  +/-  0.1109667054
2500000       71.6667927299      +/-            0.8649618142  12.7667955674  +/-  0.1540851800
5000000       65.9579908691      +/-            0.6065243936  11.7498237801  +/-  0.1080468742
7500000       21.6564738784      +/-            0.6209273387  3.8579063494   +/-  0.1106126296
10000000      15.4456703160      +/-            0.4456839239  2.7515074669   +/-  0.0793945889
