Framework:    ortho_FeMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1084.452428455542  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   abs_molec/uc       exc_molec/uc   abs_mol/kg     exc_mol/kg     Energyofads_kJ/mol  +/-  error
1000          1.3998500000       1.3983924887   0.2544092392   0.2541443505   29.99838            +/-  1.064751
2500          3.4563500000       3.4527059225   0.6281582839   0.6274960080   29.98981            +/-  0.966411
5000          6.6309500000       6.6236608476   1.2051112222   1.2037864890   29.64059            +/-  1.432950
7500          9.5525500000       9.5416147745   1.7360838501   1.7340964783   30.24770            +/-  1.199600
10000         12.7623500000      12.7477677028  2.3194340489   2.3167838570   30.11053            +/-  0.638210
25000         26.2594500000      26.2229642656  4.7724018253   4.7657708949   30.93035            +/-  1.748254
50000         37.4438000000      37.3707282315  6.8050495904   6.7917695011   30.78761            +/-  1.751509
75000         43.1318500000      43.0220912790  7.8387978297   7.8188502405   29.18119            +/-  2.160286
100000        47.3016000000      47.1550527830  8.5966096845   8.5699761409   30.21652            +/-  3.174165
250000        58.5753500000      58.2059035932  10.6455050376  10.5783617156  29.54238            +/-  2.411271
500000        66.3246000000      65.5750916501  12.0538565013  11.9176405860  28.79645            +/-  4.985763
750000        69.6861000000      68.5452031563  12.6647767123  12.4574297123  30.42411            +/-  2.878158
1000000       70.8738500000      69.3294472711  12.8806388217  12.5999585180  31.32144            +/-  4.200381
2500000       75.9772500000      71.6990439858  13.8081325611  13.0306098715  32.16640            +/-  2.262441
5000000       78.4718000000      67.4249590586  14.2614929694  12.2538361498  25.32263            +/-  4.634034
7500000       79.4574500000      21.9471526066  14.4406253526  3.9886833563   31.24442            +/-  7.044425
10000000      79.3026000000      15.1713852466  14.4124828582  2.7572529754   30.95083            +/-  5.870213
