Framework:    ortho_FeMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1084.452428455542  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg         +/-  error
1000          1.3983924887       +/-            0.1297523025  0.2541443505   +/-  0.0235812298
2500          3.4527059225       +/-            0.2250290204  0.6274960080   +/-  0.0408968546
5000          6.6236608476       +/-            0.5399584614  1.2037864890   +/-  0.0981322437
7500          9.5416147745       +/-            0.5058212530  1.7340964783   +/-  0.0919281352
10000         12.7477677028      +/-            0.5069817156  2.3167838570   +/-  0.0921390381
25000         26.2229642656      +/-            1.0445550919  4.7657708949   +/-  0.1898378156
50000         37.3707282315      +/-            0.5748881978  6.7917695011   +/-  0.1044803865
75000         43.0220912790      +/-            0.9073739361  7.8188502405   +/-  0.1649064634
100000        47.1550527830      +/-            1.1307933321  8.5699761409   +/-  0.2055107842
250000        58.2059035932      +/-            0.6173987852  10.5783617156  +/-  0.1122062758
500000        65.5750916501      +/-            0.7732302762  11.9176405860  +/-  0.1405271467
750000        68.5452031563      +/-            1.2765400346  12.4574297123  +/-  0.2319988420
1000000       69.3294472711      +/-            0.7134738678  12.5999585180  +/-  0.1296669956
2500000       71.6990439858      +/-            0.5259133008  13.0306098715  +/-  0.0955796712
5000000       67.4249590586      +/-            1.4449414659  12.2538361498  +/-  0.2626041783
7500000       21.9471526066      +/-            0.9883971570  3.9886833563   +/-  0.1796316525
10000000      15.1713852466      +/-            1.2694070112  2.7572529754   +/-  0.2307024838
