Framework:    ortho_MgMOF74
Guest:        CH4
Temperature:  313               K
FW_Density:   887.623435202681  kg/m^3
Metal_atoms:  144               per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg         +/-  error
10000         0.5908000000      +/-            0.0271005535  0.1352900098   +/-  0.0062058804
25000         1.4111000000      +/-            0.0793414142  0.3231342802   +/-  0.0181687554
50000         2.8252500000      +/-            0.0980219363  0.6469669940   +/-  0.0224464941
100000        5.3423000000      +/-            0.2842749373  1.2233578522   +/-  0.0650974256
150000        7.8153000000      +/-            0.1506122173  1.7896614984   +/-  0.0344893845
200000        10.0747000000     +/-            0.2727143927  2.3070518979   +/-  0.0624501233
250000        12.3206000000     +/-            0.0954864388  2.8213508703   +/-  0.0218658789
300000        14.1279500000     +/-            0.4098996707  3.2352242608   +/-  0.0938648112
350000        16.1181000000     +/-            0.5797634518  3.6909578643   +/-  0.1327626998
400000        17.8944500000     +/-            0.3654713942  4.0977324222   +/-  0.0836909758
450000        19.4367000000     +/-            0.3417180709  4.4508993442   +/-  0.0782515930
500000        20.9632500000     +/-            0.2106487598  4.8004710511   +/-  0.0482374285
1000000       30.5907500000     +/-            0.5875667622  7.0051165637   +/-  0.1345496157
1500000       35.7568000000     +/-            0.7144604538  8.1881141177   +/-  0.1636075859
2000000       39.2101500000     +/-            0.4597923009  8.9789126201   +/-  0.1052899541
2500000       41.6213000000     +/-            0.2695072170  9.5310529501   +/-  0.0617156974
3000000       43.6947500000     +/-            0.4462592296  10.0058618038  +/-  0.1021909538
3500000       45.2665500000     +/-            0.1572289414  10.3657955162  +/-  0.0360045786
4000000       46.3778000000     +/-            0.4947269348  10.6202657656  +/-  0.1132897966
4500000       47.5275500000     +/-            0.2643464394  10.8835523071  +/-  0.0605339072
5000000       48.4361000000     +/-            0.4845140452  11.0916053511  +/-  0.1109511000
10000000      53.9863500000     +/-            0.3242222386  12.3625826304  +/-  0.0742451419
