Framework:    ortho_NiMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1162.480066106511  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg         +/-  error
10000         0.9847500000       +/-            0.0857257254  0.1756945568   +/-  0.0152947889
25000         2.4023500000       +/-            0.0714776888  0.4286162159   +/-  0.0127527198
50000         4.5868500000       +/-            0.2122038171  0.8183646388   +/-  0.0378604271
100000        8.8111000000       +/-            0.3487805327  1.5720358566   +/-  0.0622278153
150000        12.6430000000      +/-            0.2916696762  2.2557057956   +/-  0.0520383595
200000        15.9500500000      +/-            0.7688314119  2.8457344163   +/-  0.1371713574
250000        18.6327500000      +/-            0.1920528573  3.3243693872   +/-  0.0342651857
300000        21.2109000000      +/-            0.5573563133  3.7843510290   +/-  0.0994409449
350000        23.0306500000      +/-            0.5517001541  4.1090224378   +/-  0.0984317990
400000        25.2182000000      +/-            0.7091691195  4.4993150276   +/-  0.1265266861
450000        26.9728000000      +/-            0.4799280571  4.8123626737   +/-  0.0856265522
500000        28.1805000000      +/-            0.2506096566  5.0278349421   +/-  0.0447126200
1000000       36.7050500000      +/-            0.3315336182  6.5487458683   +/-  0.0591507003
1500000       40.9500500000      +/-            0.2551449392  7.3061192055   +/-  0.0455217842
2000000       43.8061500000      +/-            0.5134090572  7.8156914053   +/-  0.0916000780
2500000       45.7971500000      +/-            0.5212349374  8.1709164499   +/-  0.0929963355
3000000       47.5448500000      +/-            0.4277882186  8.4827330298   +/-  0.0763240025
3500000       48.7095500000      +/-            0.1992133028  8.6905334363   +/-  0.0355427194
4000000       50.0638000000      +/-            0.3027919087  8.9321524804   +/-  0.0540227370
4500000       50.9717000000      +/-            0.1540069479  9.0941358144   +/-  0.0274772099
5000000       51.8413000000      +/-            0.2214354082  9.2492858389   +/-  0.0395074851
10000000      56.5268000000      +/-            0.3767682842  10.0852511561  +/-  0.0672212610
