Framework:    ortho_NiMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1162.480066106511  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   abs_molec/uc       exc_molec/uc   abs_mol/kg     exc_mol/kg    Energyofads_kJ/mol  +/-  error
10000         0.9847500000       0.9715287996   0.1756945568   0.1733356912  19.41317            +/-  0.272917
25000         2.4023500000       2.3692876491   0.4286162159   0.4227173836  19.47048            +/-  0.169914
50000         4.5868500000       4.5206941317   0.8183646388   0.8065614137  19.77341            +/-  0.741455
100000        8.8111000000       8.6786635969   1.5720358566   1.5484071639  20.20187            +/-  0.574700
150000        12.6430000000      12.4441583964  2.2557057956   2.2202293930  19.92559            +/-  0.478541
200000        15.9500500000      15.6846785349  2.8457344163   2.7983880624  20.51955            +/-  0.471442
250000        18.6327500000      18.3007240209  3.3243693872   3.2651308422  20.33382            +/-  1.017480
300000        21.2109000000      20.8120948666  3.7843510290   3.7131980550  20.51982            +/-  0.410047
350000        23.0306500000      22.5649410884  4.1090224378   4.0259328000  20.39657            +/-  0.464302
400000        25.2182000000      24.6854627064  4.4993150276   4.4042664948  20.78463            +/-  0.924833
450000        26.9728000000      26.3729097448  4.8123626737   4.7053330189  20.50934            +/-  0.612617
500000        28.1805000000      27.5133322317  5.0278349421   4.9088019435  20.75975            +/-  1.065210
1000000       36.7050500000      35.3582659286  6.5487458683   6.3084588608  20.09200            +/-  0.412622
1500000       40.9500500000      38.9112568558  7.3061192055   6.9423671283  19.98061            +/-  2.690755
2000000       43.8061500000      41.0630556474  7.8156914053   7.3262811523  19.02915            +/-  0.523020
2500000       45.7971500000      42.3376115926  8.1709164499   7.5536815503  18.79395            +/-  1.072827
3000000       47.5448500000      43.3569262501  8.4827330298   7.7355429741  19.09307            +/-  1.257149
3500000       48.7095500000      43.7815567822  8.6905334363   7.8113035967  18.61296            +/-  0.730453
4000000       50.0638000000      44.3843688929  8.9321524804   7.9188545555  19.15964            +/-  2.191538
4500000       50.9717000000      44.5298392434  9.0941358144   7.9448087051  18.97014            +/-  1.019315
5000000       51.8413000000      44.6264572168  9.2492858389   7.9620468386  18.67939            +/-  1.737658
10000000      56.5268000000      41.1422614208  10.0852511561  7.3404126814  17.95629            +/-  0.520190
