Framework:    ortho_NiMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1162.480066106511  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg         +/-  error
1000          1.7425000000       +/-            0.1304484573  0.3108888198   +/-  0.0232740126
2500          4.4564500000       +/-            0.1663223978  0.7950992718   +/-  0.0296744757
5000          8.4770000000       +/-            0.5315555474  1.5124272743   +/-  0.0948376911
7500          12.5038000000      +/-            0.6931606163  2.2308703731   +/-  0.1236705228
10000         16.2363500000      +/-            0.8932132220  2.8968147429   +/-  0.1593629868
25000         29.8470000000      +/-            0.7224564347  5.3251641921   +/-  0.1288973477
50000         40.2061500000      +/-            0.5006789990  7.1733959957   +/-  0.0893288396
75000         45.3983000000      +/-            1.0083355295  8.0997554710   +/-  0.1799025783
100000        48.7400000000      +/-            0.5146367651  8.6959661850   +/-  0.0918191200
250000        59.2483000000      +/-            1.4247807691  10.5708086442  +/-  0.2542028188
500000        65.2091500000      +/-            0.9133028304  11.6343160310  +/-  0.1629472821
750000        67.4818000000      +/-            0.3715028129  12.0397917707  +/-  0.0662818198
1000000       68.9393000000      +/-            1.2153637892  12.2998322039  +/-  0.2168396063
2500000       73.0767000000      +/-            0.7776277001  13.0380080450  +/-  0.1387407506
5000000       75.8774000000      +/-            0.9983123058  13.5376960321  +/-  0.1781142810
7500000       76.7101500000      +/-            0.8527122961  13.6862714495  +/-  0.1521369982
10000000      76.3532000000      +/-            0.7412995616  13.6225860754  +/-  0.1322592515
