Framework:    ortho_NiMOF74
Guest:        CO2
Temperature:  298                K
FW_Density:   1162.480066106511  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   abs_molec/uc       exc_molec/uc   abs_mol/kg     exc_mol/kg     Energyofads_kJ/mol  +/-  error
1000          1.7425000000       1.7411115162   0.3108888198   0.3106410929   30.55344            +/-  0.734133
2500          4.4564500000       4.4529785055   0.7950992718   0.7944799037   30.94587            +/-  0.661408
5000          8.4770000000       8.4700560608   1.5124272743   1.5111883687   31.17253            +/-  1.755410
7500          12.5038000000      12.4933826652  2.2308703731   2.2290117602   31.11573            +/-  1.359998
10000         16.2363500000      16.2224583183  2.8968147429   2.8943362530   30.90692            +/-  0.986008
25000         29.8470000000      29.8122422246  5.3251641921   5.3189628700   32.71599            +/-  1.351642
50000         40.2061500000      40.1365388998  7.1733959957   7.1609763040   31.84650            +/-  2.120334
75000         45.3983000000      45.2937394359  8.0997554710   8.0811002570   30.55911            +/-  2.320127
100000        48.7400000000      48.6003932377  8.6959661850   8.6710581898   31.50787            +/-  3.520522
250000        59.2483000000      58.8963505207  10.5708086442  10.5080154401  31.37569            +/-  5.346208
500000        65.2091500000      64.4951382554  11.6343160310  11.5069253460  32.45824            +/-  6.090362
750000        67.4818000000      66.3949358633  12.0397917707  11.8458784801  29.28907            +/-  0.814073
1000000       68.9393000000      67.4680399575  12.2998322039  12.0373367673  32.30143            +/-  5.164659
2500000       73.0767000000      69.0011091943  13.0380080450  12.3108599155  29.43066            +/-  6.626924
5000000       75.8774000000      65.3537358231  13.5376960321  11.6601123673  27.16200            +/-  5.347001
7500000       76.7101500000      21.9235318447  13.6862714495  3.9114955186   31.88873            +/-  6.124679
10000000      76.3532000000      15.2592301584  13.6225860754  2.7224815237   28.94486            +/-  5.790414
