Framework:    ortho_ZnMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1195.887342730500  kg/m^3
Metal_atoms:  288                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg        +/-  error
10000         0.8984000000       +/-            0.0448693659  0.0768439223  +/-  0.0038378652
25000         2.2365500000       +/-            0.1231407325  0.1913015075  +/-  0.0105327436
50000         4.4681500000       +/-            0.2701402599  0.3821796207  +/-  0.0231062301
100000        8.4840500000       +/-            0.3910097697  0.7256764010  +/-  0.0334447065
150000        12.8595500000      +/-            0.2260794993  1.0999312784  +/-  0.0193375283
200000        16.5892500000      +/-            0.1352194513  1.4189481716  +/-  0.0115658871
250000        20.1922500000      +/-            0.6725211521  1.7271278821  +/-  0.0575235565
300000        23.6185000000      +/-            0.4852594152  2.0201894233  +/-  0.0415062742
350000        27.0009000000      +/-            0.6504783317  2.3095002901  +/-  0.0556381415
400000        30.1672000000      +/-            0.5739685880  2.5803272169  +/-  0.0490939421
450000        32.8740000000      +/-            0.4606945843  2.8118511804  +/-  0.0394051412
500000        36.0575000000      +/-            0.5415074330  3.0841492954  +/-  0.0463174033
1000000       54.4743500000      +/-            0.5483501254  4.6594197647  +/-  0.0469026875
1500000       65.1725500000      +/-            0.5293167672  5.5744817072  +/-  0.0452746844
2000000       72.3371500000      +/-            0.5644555430  6.1873000125  +/-  0.0482802514
2500000       77.5184500000      +/-            0.4916750350  6.6304783455  +/-  0.0420550291
3000000       81.7744500000      +/-            0.4374733592  6.9945118864  +/-  0.0374189323
3500000       84.6562000000      +/-            0.4983340647  7.2410000576  +/-  0.0426246039
4000000       87.6166500000      +/-            0.7570493775  7.4942197701  +/-  0.0647536103
4500000       90.0241500000      +/-            0.4188795292  7.7001433485  +/-  0.0358285240
5000000       91.8943000000      +/-            0.4100493141  7.8601051263  +/-  0.0350732387
10000000      103.8555000000     +/-            0.2773198514  8.8831967592  +/-  0.0237203307
