Framework:    ortho_ZnMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1195.887342730500  kg/m^3
Metal_atoms:  288                per_supercell
pressure_Pa   abs_molec/uc       exc_molec/uc   abs_mol/kg    exc_mol/kg    Energyofads_kJ/mol  +/-  error
10000         0.8984000000       0.8712832809   0.0768439223  0.0745245155  16.63618            +/-  0.354938
25000         2.2365500000       2.1687390258   0.1913015075  0.1855013503  16.68471            +/-  0.329310
50000         4.4681500000       4.3324641291   0.3821796207  0.3705738388  17.04255            +/-  0.198329
100000        8.4840500000       8.2124225668   0.7256764010  0.7024429667  17.00342            +/-  0.401564
150000        12.8595500000      12.4517253150  1.0999312784  1.0650483216  17.07887            +/-  0.595414
200000        16.5892500000      16.0449723831  1.4189481716  1.3723938229  17.30797            +/-  0.567072
250000        20.1922500000      19.5112637884  1.7271278821  1.6688802736  17.52647            +/-  0.502438
300000        23.6185000000      22.8005495563  2.0201894233  1.9502266893  17.57432            +/-  0.354756
350000        27.0009000000      26.0457297201  2.3095002901  2.2278005675  17.64671            +/-  0.822201
400000        30.1672000000      29.0745543212  2.5803272169  2.4868686465  17.62578            +/-  0.275455
450000        32.8740000000      31.6436234092  2.8118511804  2.7066119071  17.57693            +/-  0.842719
500000        36.0575000000      34.6891370418  3.0841492954  2.9671074690  17.76930            +/-  0.951618
1000000       54.4743500000      51.7120921038  4.6594197647  4.4231522547  18.17098            +/-  0.755624
1500000       65.1725500000      60.9909795606  5.5744817072  5.2168144390  17.90694            +/-  0.466694
2000000       72.3371500000      66.7110558127  6.1873000125  5.7060765660  17.75958            +/-  1.210206
2500000       77.5184500000      70.4229270531  6.6304783455  6.0235684905  17.59838            +/-  1.113844
3000000       81.7744500000      73.1850066790  6.9945118864  6.2598207524  17.73942            +/-  0.689361
3500000       84.6562000000      74.5488721309  7.2410000576  6.3764778882  17.52590            +/-  1.116280
4000000       87.6166500000      75.9681209188  7.4942197701  6.4978721931  17.45033            +/-  0.660649
4500000       90.0241500000      76.8118755759  7.7001433485  6.5700420698  17.83637            +/-  0.864441
5000000       91.8943000000      77.0966372779  7.8601051263  6.5943989332  17.47948            +/-  1.053793
10000000      103.8555000000     72.3017683566  8.8831967592  6.1842736721  17.30850            +/-  2.010175
