Framework:    ortho_ZnMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1195.887342730500  kg/m^3
Metal_atoms:  288                per_supercell
pressure_Pa   abs_molec/uc       exc_molec/uc   abs_mol/kg    exc_mol/kg    Energyofads_kJ/mol  +/-  error
10000         0.8984000000       0.8712832809   0.0768439223  0.0745245155  16.63618            +/-  0.354938
25000         2.2365500000       2.1687390258   0.1913015075  0.1855013503  16.68471            +/-  0.329310
50000         4.4681500000       4.3324641291   0.3821796207  0.3705738388  17.04255            +/-  0.198329
100000        8.4840500000       8.2124225668   0.7256764010  0.7024429667  17.00342            +/-  0.401564
150000        12.8595500000      12.4517253150  1.0999312784  1.0650483216  17.07887            +/-  0.595414
200000        16.5892500000      16.0449723831  1.4189481716  1.3723938229  17.30797            +/-  0.567072
250000        20.1922500000      19.5112637884  1.7271278821  1.6688802736  17.52647            +/-  0.502438
300000        23.6185000000      22.8005495563  2.0201894233  1.9502266893  17.57432            +/-  0.354756
350000        27.0009000000      26.0457297201  2.3095002901  2.2278005675  17.64671            +/-  0.822201
400000        30.1672000000      29.0745543212  2.5803272169  2.4868686465  17.62578            +/-  0.275455
450000        32.8740000000      31.6436234092  2.8118511804  2.7066119071  17.57693            +/-  0.842719
500000        36.0575000000      34.6891370418  3.0841492954  2.9671074690  17.76930            +/-  0.951618
1000000       54.4743500000      51.7120921038  4.6594197647  4.4231522547  18.17098            +/-  0.755624
