Framework:    ortho_MgMOF74
Guest:        CH4
Temperature:  313               K
FW_Density:   887.623435202681  kg/m^3
Metal_atoms:  144               per_supercell
pressure_Pa   molec/uc          +/-            error         mol/kg        +/-  error
50000         2.8252500000      +/-            0.0980219363  0.6469669940  +/-  0.0224464941
100000        5.3423000000      +/-            0.2842749373  1.2233578522  +/-  0.0650974256
150000        7.8153000000      +/-            0.1506122173  1.7896614984  +/-  0.0344893845
200000        10.0747000000     +/-            0.2727143927  2.3070518979  +/-  0.0624501233
250000        12.3206000000     +/-            0.0954864388  2.8213508703  +/-  0.0218658789
300000        14.1279500000     +/-            0.4098996707  3.2352242608  +/-  0.0938648112
350000        16.1181000000     +/-            0.5797634518  3.6909578643  +/-  0.1327626998
400000        17.8944500000     +/-            0.3654713942  4.0977324222  +/-  0.0836909758
450000        19.4367000000     +/-            0.3417180709  4.4508993442  +/-  0.0782515930
500000        20.9632500000     +/-            0.2106487598  4.8004710511  +/-  0.0482374285
