Framework:    ortho_NiMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1162.480066106511  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   abs_molec/uc       exc_molec/uc   abs_mol/kg    exc_mol/kg    Energyofads_kJ/mol  +/-  error
50000         4.5868500000       4.5206941317   0.8183646388  0.8065614137  19.77341            +/-  0.741455
100000        8.8111000000       8.6786635969   1.5720358566  1.5484071639  20.20187            +/-  0.574700
150000        12.6430000000      12.4441583964  2.2557057956  2.2202293930  19.92559            +/-  0.478541
200000        15.9500500000      15.6846785349  2.8457344163  2.7983880624  20.51955            +/-  0.471442
250000        18.6327500000      18.3007240209  3.3243693872  3.2651308422  20.33382            +/-  1.017480
300000        21.2109000000      20.8120948666  3.7843510290  3.7131980550  20.51982            +/-  0.410047
350000        23.0306500000      22.5649410884  4.1090224378  4.0259328000  20.39657            +/-  0.464302
400000        25.2182000000      24.6854627064  4.4993150276  4.4042664948  20.78463            +/-  0.924833
450000        26.9728000000      26.3729097448  4.8123626737  4.7053330189  20.50934            +/-  0.612617
500000        28.1805000000      27.5133322317  5.0278349421  4.9088019435  20.75975            +/-  1.065210
