Framework:    ortho_ZnMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1195.887342730500  kg/m^3
Metal_atoms:  288                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg        +/-  error
50000         4.4681500000       +/-            0.2701402599  0.3821796207  +/-  0.0231062301
100000        8.4840500000       +/-            0.3910097697  0.7256764010  +/-  0.0334447065
150000        12.8595500000      +/-            0.2260794993  1.0999312784  +/-  0.0193375283
200000        16.5892500000      +/-            0.1352194513  1.4189481716  +/-  0.0115658871
250000        20.1922500000      +/-            0.6725211521  1.7271278821  +/-  0.0575235565
300000        23.6185000000      +/-            0.4852594152  2.0201894233  +/-  0.0415062742
350000        27.0009000000      +/-            0.6504783317  2.3095002901  +/-  0.0556381415
400000        30.1672000000      +/-            0.5739685880  2.5803272169  +/-  0.0490939421
450000        32.8740000000      +/-            0.4606945843  2.8118511804  +/-  0.0394051412
500000        36.0575000000      +/-            0.5415074330  3.0841492954  +/-  0.0463174033
