Framework:    ortho_MgMOF74
Guest:        CH4
Temperature:  313               K
FW_Density:   887.623435202681  kg/m^3
Metal_atoms:  144               per_supercell
pressure_Pa   abs_molec/uc      exc_molec/uc   abs_mol/kg    exc_mol/kg    Energyofads_kJ/mol  +/-  error
50000         2.8252500000      2.7565318967   0.6469669940  0.6312309194  17.43851            +/-  0.659792
100000        5.3423000000      5.2047342985   1.2233578522  1.1918560494  17.68060            +/-  0.605232
150000        7.8153000000      7.6087572063   1.7896614984  1.7423643139  17.80357            +/-  0.433070
200000        10.0747000000     9.7990506249   2.3070518979  2.2439296795  17.82673            +/-  0.323447
250000        12.3206000000     11.9757145632  2.8213508703  2.7423739676  17.80028            +/-  0.527727
300000        14.1279500000     13.7136990339  3.2352242608  3.1403630265  18.23100            +/-  0.355127
350000        16.1181000000     15.6343540539  3.6909578643  3.5801826548  18.39537            +/-  0.681541
400000        17.8944500000     17.3410796442  4.0977324222  3.9710135989  18.28353            +/-  0.433902
450000        19.4367000000     18.8135758299  4.4508993442  4.3082072741  18.18461            +/-  0.407001
500000        20.9632500000     20.2702426402  4.8004710511  4.6417761078  18.42685            +/-  0.484191
