Framework:    ortho_NiMOF74
Guest:        CH4
Temperature:  313                K
FW_Density:   1162.480066106511  kg/m^3
Metal_atoms:  144                per_supercell
pressure_Pa   molec/uc           +/-            error         mol/kg        +/-  error
50000         4.5206941317       +/-            0.2122038171  0.8065614137  +/-  0.0378604271
100000        8.6786635969       +/-            0.3487805327  1.5484071639  +/-  0.0622278153
150000        12.4441583964      +/-            0.2916696762  2.2202293930  +/-  0.0520383595
200000        15.6846785349      +/-            0.7688314119  2.7983880624  +/-  0.1371713574
250000        18.3007240209      +/-            0.1920528573  3.2651308422  +/-  0.0342651857
300000        20.8120948666      +/-            0.5573563133  3.7131980550  +/-  0.0994409449
350000        22.5649410884      +/-            0.5517001541  4.0259328000  +/-  0.0984317990
400000        24.6854627064      +/-            0.7091691195  4.4042664948  +/-  0.1265266861
450000        26.3729097448      +/-            0.4799280571  4.7053330189  +/-  0.0856265522
500000        27.5133322317      +/-            0.2506096566  4.9088019435  +/-  0.0447126200
